11,Валенсия , Атлетик Б ,0,0
11,Реал Сосьедад , Атлетико М ,2,1
12,Атлетик Б , Эспаньол ,3,1
12,Атлетико М , Малага ,3,1
12,Эйбар , Реал Мадрид ,0,4
12,Барселона , Севилья ,5,1
12,Депортиво , Реал Сосьедад ,0,0
12,Райо Вальекано , Сельта ,1,0
12,Леванте , Валенсия ,2,1
12,Эльче , Кордова ,2,2
12,Вильярреал , Хетафе ,2,1
12,Гранада , Альмерия ,0,0
13,Реал Сосьедад , Эльче ,3,0
13,Хетафе , Атлетик Б ,1,2
13,Эспаньол , Леванте ,2,1
13,Малага , Реал Мадрид ,1,2
13,Сельта , Эйбар ,0,1
13,Атлетико М , Депортиво ,2,0
13,Севилья , Гранада ,5,1
13,Кордова , Вильярреал ,0,2
13,Валенсия , Барселона ,0,1
13,Альмерия , Райо Вальекано ,0,1
14,Эльче , Атлетико М ,0,2
14,Атлетик Б , Кордова ,0,1
14,Реал Мадрид , Сельта ,3,0
14,Депортиво , Малага ,0,1
14,Райо Вальекано , Севилья ,0,1
14,Барселона , Эспаньол ,5,1
14,Вильярреал , Реал Сосьедад ,4,0
14,Гранада , Валенсия ,1,1
14,Эйбар , Альмерия ,5,2
14,Леванте , Хетафе ,1,1
15,Альмерия , Реал Мадрид ,1,4
15,Хетафе , Барселона ,0,0
15,Валенсия , Райо Вальекано ,3,0
15,Кордова , Леванте ,0,0
15,Малага , Сельта ,1,0
15,Эспаньол , Гранада ,2,1
15,Севилья , Эйбар ,0,0
15,Атлетико М , Вильярреал ,0,1
15,Реал Сосьедад , Атлетик Б ,1,1
15,Депортиво , Эльче ,1,0
16,Сельта , Альмерия ,0,1
16,Барселона , Кордова ,5,0
16,Леванте , Реал Сосьедад ,1,1
16,Эйбар , Валенсия ,0,1
16,Райо Вальекано , Эспаньол ,1,3
16,Вильярреал , Депортиво ,3,0
16,Гранада , Хетафе ,1,1
16,Эльче , Малага ,1,2
16,Атлетик Б , Атлетико М ,1,4
16,Реал Мадрид , Севилья ,2,1
17,Атлетико М , Леванте ,3,1
17,Севилья , Сельта ,1,0
17,Эльче , Вильярреал ,2,2
17,Депортиво , Атлетик Б ,1,0
17,Малага , Альмерия ,1,2
