7,Вильярреал , Леванте ,1,1
7,Сарагоса , Бетис ,2,1
7,Депортиво , Атлетико М ,1,0
7,Мальорка , Реал Сосьедад ,0,0
7,Рекреативо , Хетафе ,1,2
7,Севилья , Химнастик ,2,1
7,Атлетик Б , Сельта ,0,1
7,Валенсия , Осасуна ,1,0
7,Эспаньол , Расинг ,2,2
7,Реал Мадрид , Барселона ,2,0
8,Барселона , Рекреативо ,3,0
8,Расинг , Валенсия ,1,0
8,Химнастик , Реал Мадрид ,1,3
8,Леванте , Эспаньол ,0,0
8,Реал Сосьедад , Вильярреал ,0,1
8,Бетис , Мальорка ,0,1
8,Хетафе , Депортиво ,2,0
8,Сельта , Севилья ,1,2
8,Осасуна , Атлетик Б ,1,1
8,Атлетико М , Сарагоса ,0,1
9,Леванте , Реал Сосьедад ,2,0
9,Мальорка , Атлетико М ,0,0
9,Депортиво , Барселона ,1,1
9,Вильярреал , Бетис ,3,2
9,Сарагоса , Хетафе ,3,1
9,Рекреативо , Химнастик ,2,1
9,Севилья , Осасуна ,2,0
9,Атлетик Б , Расинг ,0,0
9,Реал Мадрид , Сельта ,1,2
9,Эспаньол , Валенсия ,1,1
10,Атлетико М , Вильярреал ,3,1
10,Валенсия , Атлетик Б ,1,1
10,Реал Сосьедад , Эспаньол ,1,1
10,Бетис , Леванте ,2,1
10,Хетафе , Мальорка ,1,0
10,Химнастик , Депортиво ,0,0
10,Сельта , Рекреативо ,1,2
10,Расинг , Севилья ,0,0
10,Осасуна , Реал Мадрид ,1,4
10,Барселона , Сарагоса ,3,1
11,Реал Мадрид , Расинг ,3,1
11,Севилья , Валенсия ,3,0
11,Реал Сосьедад , Бетис ,0,0
11,Леванте , Атлетико М ,0,3
11,Вильярреал , Хетафе ,1,0
11,Сарагоса , Химнастик ,3,0
11,Рекреативо , Осасуна ,2,0
11,Эспаньол , Атлетик Б ,3,2
11,Мальорка , Барселона ,1,4
11,Депортиво , Сельта ,0,1
12,Барселона , Вильярреал ,4,0
12,Атлетико М , Реал Сосьедад ,1,1
12,Бетис , Эспаньол ,1,1
12,Хетафе , Леванте ,0,0
12,Химнастик , Мальорка ,2,3
12,Сельта , Сарагоса ,1,1
12,Осасуна , Депортиво ,4,1
12,Расинг , Рекреативо ,4,3
12,Валенсия , Реал Мадрид ,0,1
12,Атлетик Б , Севилья ,1,3
13,Леванте , Барселона ,1,1
13,Рекреативо , Валенсия ,2,0
13,Бетис , Атлетико М ,0,1
13,Реал Сосьедад , Хетафе ,0,0
13,Вильярреал , Химнастик ,2,0
13,Мальорка , Сельта ,2,2
13,Депортиво , Расинг ,0,0
13,Эспаньол , Севилья ,2,1
13,Реал Мадрид , Атлетик Б ,2,1
13,Сарагоса , Осасуна ,1,2
14,Барселона , Реал Сосьедад ,1,0
14,Севилья , Реал Мадрид ,2,1
14,Хетафе , Бетис ,1,1
14,Химнастик , Леванте ,2,1
14,Сельта , Вильярреал ,1,1
14,Осасуна , Мальорка ,3,0
14,Расинг , Сарагоса ,0,2
14,Атлетик Б , Рекреативо ,4,2
14,Атлетико М , Эспаньол ,1,2
14,Валенсия , Депортиво ,4,0
15,Мальорка , Расинг ,1,2
