13,Севилья , Мальорка ,1,2
13,Мурсия , Реал Мадрид ,1,1
13,Вильярреал , Альмерия ,1,1
13,Атлетико М , Вальядолид ,4,3
13,Леванте , Бетис ,4,3
13,Осасуна , Эспаньол ,1,2
13,Атлетик Б , Депортиво ,2,2
13,Расинг , Валенсия ,1,0
13,Сарагоса , Хетафе ,1,1
14,Альмерия , Севилья ,1,0
14,Реал Мадрид , Расинг ,3,1
14,Эспаньол , Барселона ,1,1
14,Вальядолид , Вильярреал ,2,0
14,Хетафе , Леванте ,2,1
14,Рекреативо , Сарагоса ,2,1
14,Депортиво , Осасуна ,1,2
14,Мальорка , Мурсия ,1,1
14,Бетис , Атлетико М ,0,2
14,Валенсия , Атлетик Б ,0,3
15,Осасуна , Валенсия ,0,0
15,Атлетик Б , Реал Мадрид ,0,1
15,Альмерия , Вальядолид ,1,0
15,Вильярреал , Бетис ,0,1
15,Леванте , Рекреативо ,0,2
15,Сарагоса , Эспаньол ,3,3
15,Расинг , Мальорка ,3,1
15,Севилья , Мурсия ,3,1
15,Атлетико М , Хетафе ,1,0
15,Барселона , Депортиво ,2,1
16,Эспаньол , Леванте ,1,0
16,Валенсия , Барселона ,0,3
16,Вальядолид , Севилья ,0,0
16,Бетис , Альмерия ,3,1
16,Хетафе , Вильярреал ,1,3
16,Депортиво , Сарагоса ,1,1
16,Мальорка , Атлетик Б ,0,0
16,Мурсия , Расинг ,2,1
16,Рекреативо , Атлетико М ,0,0
16,Реал Мадрид , Осасуна ,2,0
17,Альмерия , Хетафе ,0,2
17,Сарагоса , Валенсия ,2,2
17,Севилья , Расинг ,4,1
17,Вальядолид , Бетис ,0,0
17,Вильярреал , Рекреативо ,1,1
17,Атлетико М , Эспаньол ,1,2
17,Леванте , Депортиво ,0,1
17,Осасуна , Мальорка ,3,1
17,Барселона , Реал Мадрид ,0,1
17,Атлетик Б , Мурсия ,1,1
18,Мальорка , Барселона ,0,2
18,Эспаньол , Вильярреал ,3,0
18,Хетафе , Вальядолид ,0,3
18,Рекреативо , Альмерия ,1,1
18,Депортиво , Атлетико М ,0,3
18,Валенсия , Леванте ,0,0
18,Мурсия , Осасуна ,2,0
18,Расинг , Атлетик Б ,1,0
18,Реал Мадрид , Сарагоса ,2,0
18,Севилья , Бетис ,3,0
19,Барселона , Мурсия ,4,0
19,Атлетик Б , Севилья ,2,0
19,Бетис , Хетафе ,3,2
19,Вальядолид , Рекреативо ,3,1
19,Альмерия , Эспаньол ,1,0
19,Вильярреал , Депортиво ,4,3
19,Сарагоса , Мальорка ,2,2
19,Осасуна , Расинг ,0,2
19,Леванте , Реал Мадрид ,0,2
19,Атлетико М , Валенсия ,1,0
20,Хетафе , Севилья ,3,2
20,Вильярреал , Валенсия ,3,0
20,Осасуна , Атлетик Б ,2,0
20,Сарагоса , Мурсия ,3,1
20,Леванте , Мальорка ,2,2
20,Альмерия , Депортиво ,1,0
20,Вальядолид , Эспаньол ,2,1
20,Бетис , Рекреативо ,1,1
20,Атлетико М , Реал Мадрид ,0,2
20,Барселона , Расинг ,1,0
21,Севилья , Осасуна ,2,1
21,Расинг , Сарагоса ,2,2
21,Мурсия , Леванте ,2,3
21,Мальорка , Атлетико М ,1,0
21,Валенсия , Альмерия ,0,1
21,Депортиво , Вальядолид ,3,1
21,Эспаньол , Бетис ,1,2
21,Рекреативо , Хетафе ,1,3
21,Атлетик Б , Барселона ,1,1
21,Реал Мадрид , Вильярреал ,3,2
22,Альмерия , Реал Мадрид ,2,0
22,Бетис , Депортиво ,0,1
22,Сарагоса , Атлетик Б ,1,0
22,Леванте , Расинг ,1,1
22,Атлетико М , Мурсия ,1,1
22,Вильярреал , Мальорка ,1,1
22,Вальядолид , Валенсия ,0,2
22,Рекреативо , Севилья ,1,2
22,Барселона , Осасуна ,1,0
22,Хетафе , Эспаньол ,0,1
23,Мурсия , Вильярреал ,0,1
23,Депортиво , Хетафе ,1,1
23,Севилья , Барселона ,1,1
23,Осасуна , Сарагоса ,1,0
23,Атлетик Б , Леванте ,1,0
23,Расинг , Атлетико М ,0,2
23,Мальорка , Альмерия ,0,0
23,Эспаньол , Рекреативо ,1,2
