6,Хетафе , Леванте ,3,0
6,Реал Сосьедад , Атлетик Б ,0,0
7,Сельта , Хетафе ,0,0
7,Севилья , Барселона ,2,1
7,Гранада , Депортиво ,1,1
7,Эспаньол , Спортинг Хихон ,1,2
7,Лас-Пальмас , Эйбар ,0,2
7,Малага , Реал Сосьедад ,3,1
7,Райо Вальекано , Бетис ,0,2
7,Атлетик Б , Валенсия ,3,1
7,Леванте , Вильярреал ,1,0
7,Атлетико М , Реал Мадрид ,1,1
8,Реал Мадрид , Леванте ,3,0
8,Эйбар , Севилья ,1,1
8,Барселона , Райо Вальекано ,5,2
8,Валенсия , Малага ,3,0
8,Бетис , Эспаньол ,1,3
8,Вильярреал , Сельта ,1,2
8,Реал Сосьедад , Атлетико М ,0,2
8,Хетафе , Лас-Пальмас ,4,0
8,Депортиво , Атлетик Б ,2,2
8,Спортинг Хихон , Гранада ,3,3
9,Райо Вальекано , Эспаньол ,-,- 
9,Сельта , Реал Мадрид ,-,- 
9,Гранада , Бетис ,-,- 
9,Севилья , Хетафе ,-,- 
9,Малага , Депортиво ,-,- 
9,Леванте , Реал Сосьедад ,-,- 
9,Лас-Пальмас , Вильярреал ,-,- 
9,Барселона , Эйбар ,-,- 
9,Атлетико М , Валенсия ,-,- 
9,Атлетик Б , Спортинг Хихон ,-,- 
10,Хетафе , Барселона ,-,- 
10,Эйбар , Райо Вальекано ,-,- 
10,Вильярреал , Севилья ,-,- 
10,Реал Мадрид , Лас-Пальмас ,-,- 
10,Реал Сосьедад , Сельта ,-,- 
10,Валенсия , Леванте ,-,- 
10,Депортиво , Атлетико М ,-,- 
10,Спортинг Хихон , Малага ,-,- 
10,Бетис , Атлетик Б ,-,- 
10,Эспаньол , Гранада ,-,- 
11,Лас-Пальмас , Реал Сосьедад ,-,- 
11,Сельта , Валенсия ,-,- 
11,Леванте , Депортиво ,-,- 
11,Эйбар , Хетафе ,-,- 
11,Райо Вальекано , Гранада ,-,- 
11,Малага , Бетис ,-,- 
11,Атлетик Б , Эспаньол ,-,- 
11,Барселона , Вильярреал ,-,- 
11,Атлетико М , Спортинг Хихон ,-,- 
11,Севилья , Реал Мадрид ,-,- 
12,Реал Сосьедад , Севилья ,-,- 
12,Реал Мадрид , Барселона ,-,- 
12,Эспаньол , Малага ,-,- 
12,Валенсия , Лас-Пальмас ,-,- 
12,Депортиво , Сельта ,-,- 
12,Спортинг Хихон , Леванте ,-,- 
12,Вильярреал , Эйбар ,-,- 
12,Гранада , Атлетик Б ,-,- 
12,Бетис , Атлетико М ,-,- 
12,Хетафе , Райо Вальекано ,-,- 
13,Хетафе , Вильярреал ,-,- 
13,Эйбар , Реал Мадрид ,-,- 
13,Барселона , Реал Сосьедад ,-,- 
13,Севилья , Валенсия ,-,- 
13,Лас-Пальмас , Депортиво ,-,- 
13,Сельта , Спортинг Хихон ,-,- 
13,Леванте , Бетис ,-,- 
13,Атлетико М , Эспаньол ,-,- 
13,Малага , Гранада ,-,- 
13,Райо Вальекано , Атлетик Б ,-,- 
14,Вильярреал , Райо Вальекано ,-,- 
14,Реал Мадрид , Хетафе ,-,- 
14,Реал Сосьедад , Эйбар ,-,- 
