21,Сампдория , Лацио ,3,1
21,Кьево , Лечче ,1,1
21,Фиорентина , Наполи ,2,1
21,Рома , Палермо ,2,1
21,Торино , Реджина ,0,0
21,Кальяри , Сиена ,1,0
22,Наполи , Удинезе ,2,2
22,Ювентус , Кальяри ,2,3
22,Аталанта , Катания ,1,0
22,Сиена , Лечче ,1,2
22,Дженоа , Палермо ,1,0
22,Реджина , Рома ,2,2
22,Кьево , Сампдория ,1,1
22,Интер , Торино ,1,1
22,Лацио , Милан ,0,3
22,Болонья , Фиорентина ,1,3
23,Лечче , Интер ,0,3
23,Милан , Реджина ,1,1
23,Кальяри , Аталанта ,0,1
23,Удинезе , Болонья ,1,0
23,Торино , Кьево ,1,1
23,Рома , Дженоа ,3,0
23,Катания , Ювентус ,1,2
23,Фиорентина , Лацио ,1,0
23,Сампдория , Сиена ,2,2
23,Палермо , Наполи ,2,1
24,Лацио , Торино ,1,1
24,Наполи , Болонья ,1,1
24,Кьево , Катания ,1,1
24,Дженоа , Фиорентина ,3,3
24,Кальяри , Лечче ,2,0
24,Реджина , Палермо ,0,0
24,Аталанта , Рома ,3,0
24,Ювентус , Сампдория ,1,1
24,Сиена , Удинезе ,1,1
24,Интер , Милан ,2,1
25,Болонья , Интер ,1,2
25,Рома , Сиена ,1,0
25,Палермо , Ювентус ,0,2
25,Сампдория , Аталанта ,1,0
25,Милан , Кальяри ,1,0
25,Фиорентина , Кьево ,2,1
25,Наполи , Дженоа ,0,1
25,Лечче , Лацио ,0,2
25,Катания , Реджина ,2,0
25,Торино , Удинезе ,1,0
26,Лацио , Болонья ,2,0
26,Ювентус , Наполи ,1,0
26,Палермо , Катания ,0,4
26,Аталанта , Кьево ,0,2
26,Реджина , Фиорентина ,1,1
26,Сиена , Дженоа ,0,0
26,Удинезе , Лечче ,2,0
26,Сампдория , Милан ,2,1
26,Кальяри , Торино ,0,0
26,Интер , Рома ,3,3
27,Рома , Удинезе ,1,1
27,Дженоа , Интер ,0,2
27,Торино , Ювентус ,0,1
27,Милан , Аталанта ,3,0
27,Кьево , Кальяри ,1,1
27,Наполи , Лацио ,0,2
27,Фиорентина , Палермо ,0,2
27,Лечче , Реджина ,0,0
27,Болонья , Сампдория ,3,0
27,Катания , Сиена ,0,3
28,Кальяри , Дженоа ,0,1
28,Ювентус , Болонья ,4,1
28,Удинезе , Катания ,1,1
28,Лацио , Кьево ,0,3
28,Палермо , Лечче ,5,2
28,Сиена , Милан ,1,5
28,Реджина , Наполи ,1,1
28,Сампдория , Рома ,2,2
28,Аталанта , Торино ,2,0
28,Интер , Фиорентина ,2,0
29,Катания , Лацио ,1,0
29,Рома , Ювентус ,1,4
29,Лечче , Аталанта ,2,2
29,Болонья , Кальяри ,0,1
29,Кьево , Палермо ,1,0
29,Интер , Реджина ,3,0
29,Торино , Сампдория ,1,3
29,Фиорентина , Сиена ,1,0
29,Дженоа , Удинезе ,2,0
29,Наполи , Милан ,0,0
30,Аталанта , Фиорентина ,1,2
30,Рома , Болонья ,2,1
30,Кальяри , Катания ,1,0
30,Ювентус , Кьево ,3,3
30,Реджина , Дженоа ,0,1
30,Сиена , Лацио ,2,0
30,Сампдория , Наполи ,2,2
30,Палермо , Торино ,1,0
30,Удинезе , Интер ,0,1
30,Милан , Лечче ,2,0
31,Наполи , Аталанта ,0,0
31,Фиорентина , Кальяри ,2,1
31,Торино , Катания ,2,1
