17,Аталанта , Удинезе ,1,2
17,Кальяри , Фиорентина ,0,2
17,Кьево , Реджина ,3,2
17,Эмполи , Сиена ,1,0
17,Лацио , Интер ,0,2
17,Мессина , Парма ,1,1
17,Милан , Катания ,3,0
17,Палермо , Асколи ,4,0
17,Сампдория , Ливорно ,4,1
17,Торино , Рома ,1,2
18,Асколи , Кьево ,3,0
18,Катания , Сампдория ,4,2
18,Фиорентина , Мессина ,4,0
18,Интер , Аталанта ,2,1
18,Ливорно , Торино ,1,1
18,Парма , Лацио ,1,3
18,Реджина , Эмполи ,4,1
18,Рома , Кальяри ,2,0
18,Сиена , Палермо ,1,1
18,Удинезе , Милан ,0,3
19,Эмполи , Парма ,2,0
19,Торино , Интер ,1,3
19,Аталанта , Ливорно ,5,1
19,Кальяри , Асколи ,1,0
19,Кьево , Катания ,2,1
19,Мессина , Рома ,1,1
19,Милан , Реджина ,3,1
19,Палермо , Удинезе ,2,0
19,Сампдория , Фиорентина ,0,0
19,Лацио , Сиена ,1,1
20,Асколи , Аталанта ,1,3
20,Реджина , Палермо ,0,0
20,Катания , Кальяри ,0,1
20,Эмполи , Сампдория ,2,0
20,Интер , Фиорентина ,3,1
20,Ливорно , Рома ,1,1
20,Парма , Торино ,1,0
20,Сиена , Кьево ,2,1
20,Удинезе , Мессина ,1,0
20,Лацио , Милан ,0,0
21,Торино , Удинезе ,2,3
21,Палермо , Лацио ,0,3
21,Аталанта , Катания ,1,1
21,Кальяри , Реджина ,0,2
21,Кьево , Эмполи ,0,0
21,Фиорентина , Ливорно ,2,1
21,Мессина , Асколи ,1,2
21,Милан , Парма ,1,0
21,Рома , Сиена ,1,0
21,Сампдория , Интер ,0,2
22,Катания , Палермо ,1,2
22,Реджина , Мессина ,3,1
22,Ливорно , Кальяри ,2,1
22,Асколи , Милан ,2,5
22,Эмполи , Аталанта ,2,0
22,Лацио , Кьево ,0,0
22,Удинезе , Сампдория ,1,0
22,Интер , Рома ,1,3
22,Парма , Фиорентина ,2,0
22,Сиена , Торино ,1,0
23,Сампдория , Асколи ,2,0
23,Мессина , Катания ,1,1
23,Аталанта , Лацио ,0,0
23,Кальяри , Сиена ,2,2
23,Кьево , Интер ,0,2
23,Милан , Ливорно ,2,1
23,Палермо , Эмполи ,0,1
23,Рома , Парма ,3,0
23,Торино , Реджина ,1,2
23,Фиорентина , Удинезе ,2,0
24,Эмполи , Рома ,1,0
24,Сиена , Милан ,3,4
24,Интер , Кальяри ,1,0
24,Асколи , Удинезе ,2,2
24,Катания , Фиорентина ,0,1
24,Лацио , Торино ,2,0
24,Ливорно , Мессина ,2,1
24,Палермо , Кьево ,1,1
24,Парма , Сампдория ,0,1
24,Реджина , Аталанта ,1,1
25,Кьево , Торино ,3,0
25,Аталанта , Палермо ,1,1
25,Кальяри , Лацио ,0,2
25,Катания , Интер ,2,5
25,Ливорно , Асколи ,0,0
25,Мессина , Сиена ,1,0
25,Рома , Реджина ,3,0
25,Удинезе , Парма ,3,3
25,Фиорентина , Эмполи ,2,0
25,Милан , Сампдория ,1,0
26,Асколи , Парма ,0,0
26,Кьево , Рома ,2,2
26,Эмполи , Мессина ,3,1
26,Лацио , Катания ,3,1
26,Палермо , Милан ,0,0
26,Реджина , Фиорентина ,1,1
26,Сампдория , Аталанта ,2,1
26,Сиена , Ливорно ,0,0
26,Торино , Кальяри ,1,0
26,Интер , Удинезе ,1,1
27,Асколи , Рома ,1,1
27,Ливорно , Интер ,1,2
27,Милан , Кьево ,3,1
27,Кальяри , Аталанта ,2,0
27,Катания , Сиена ,1,1
27,Фиорентина , Торино ,5,1
27,Лацио , Сампдория ,1,0
27,Мессина , Палермо ,2,0
27,Парма , Реджина ,2,2
27,Удинезе , Эмполи ,0,1
28,Сампдория , Кальяри ,1,1
28,Сиена , Асколи ,0,1
28,Торино , Катания ,1,0
28,Аталанта , Парма ,1,1
28,Кьево , Мессина ,1,1
28,Эмполи , Ливорно ,2,2
28,Палермо , Фиорентина ,1,1
28,Реджина , Лацио ,2,3
28,Интер , Милан ,2,1
28,Рома , Удинезе ,3,1
29,Сампдория , Палермо ,1,1
29,Асколи , Интер ,1,2
29,Кальяри , Кьево ,0,2
29,Катания , Реджина ,1,4
29,Мессина , Торино ,0,3
29,Милан , Аталанта ,1,0
29,Парма , Сиена ,1,0
29,Удинезе , Ливорно ,4,0
29,Фиорентина , Рома ,0,0
29,Лацио , Эмполи ,3,1
30,Реджина , Сиена ,0,1
30,Рома , Милан ,1,1
30,Аталанта , Фиорентина ,2,2
30,Кальяри , Мессина ,2,0
30,Кьево , Сампдория ,1,1
30,Эмполи , Асколи ,4,1
30,Интер , Парма ,2,0
30,Ливорно , Катания ,4,1
30,Торино , Палермо ,0,0
30,Удинезе , Лацио ,2,4
31,Аталанта , Кьево ,1,0
31,Катания , Рома ,0,2
31,Фиорентина , Асколи ,4,0
31,Лацио , Мессина ,1,0
31,Палермо , Кальяри ,1,3
31,Парма , Ливорно ,1,0
31,Реджина , Интер ,0,0
31,Сампдория , Торино ,1,0
31,Сиена , Удинезе ,2,2
31,Милан , Эмполи ,3,1
32,Кальяри , Эмполи ,0,0
32,Удинезе , Кьево ,2,1
32,Асколи , Лацио ,2,2
32,Фиорентина , Сиена ,1,0
32,Ливорно , Реджина ,1,1
32,Мессина , Милан ,1,3
32,Парма , Катания ,1,1
32,Рома , Сампдория ,4,0
32,Торино , Аталанта ,1,2
32,Интер , Палермо ,2,2
33,Сампдория , Мессина ,3,1
33,Милан , Кальяри ,3,1
33,Аталанта , Рома ,2,1
33,Кьево , Ливорно ,2,1
33,Эмполи , Торино ,0,0
33,Лацио , Фиорентина ,0,1
33,Реджина , Удинезе ,1,1
