23,Удинезе , Наполи ,3,1
23,Фиорентина , Рома ,0,1
24,Милан , Удинезе ,3,2
24,Рома , Палермо ,4,1
24,Сампдория , Фиорентина ,2,0
24,Кальяри , Бари ,3,1
24,Катания , Аталанта ,0,0
24,Кьево , Сиена ,0,1
24,Ювентус , Дженоа ,3,2
24,Ливорно , Болонья ,0,1
24,Парма , Лацио ,0,2
24,Наполи , Интер ,0,0
25,Дженоа , Удинезе ,3,0
25,Интер , Сампдория ,0,0
25,Аталанта , Кьево ,0,1
25,Болонья , Ювентус ,1,2
25,Кальяри , Парма ,2,0
25,Фиорентина , Ливорно ,2,1
25,Палермо , Лацио ,3,1
25,Рома , Катания ,1,0
25,Сиена , Наполи ,0,0
25,Бари , Милан ,0,2
26,Катания , Бари ,4,0
26,Лацио , Фиорентина ,1,1
26,Кьево , Кальяри ,2,1
26,Дженоа , Болонья ,3,4
26,Ливорно , Сиена ,1,2
26,Милан , Аталанта ,3,1
26,Наполи , Рома ,2,2
26,Парма , Сампдория ,1,0
26,Удинезе , Интер ,2,3
26,Ювентус , Палермо ,0,2
27,Фиорентина , Ювентус ,1,2
27,Рома , Милан ,0,0
27,Аталанта , Удинезе ,0,0
27,Бари , Кьево ,1,0
27,Болонья , Наполи ,2,1
27,Кальяри , Катания ,2,2
27,Палермо , Ливорно ,1,0
27,Сампдория , Лацио ,2,1
27,Сиена , Парма ,1,1
27,Интер , Дженоа ,0,0
28,Катания , Интер ,3,1
28,Наполи , Фиорентина ,1,3
28,Болонья , Сампдория ,1,1
28,Дженоа , Кальяри ,5,3
28,Ювентус , Сиена ,3,3
28,Лацио , Бари ,0,2
28,Ливорно , Рома ,3,3
28,Парма , Аталанта ,1,0
28,Удинезе , Палермо ,3,2
28,Милан , Кьево ,1,0
29,Фиорентина , Дженоа ,3,0
29,Палермо , Интер ,1,1
29,Рома , Удинезе ,4,2
29,Аталанта , Ливорно ,3,0
29,Бари , Парма ,1,1
29,Кальяри , Лацио ,0,2
29,Кьево , Катания ,1,1
29,Милан , Наполи ,1,1
29,Сиена , Болонья ,1,0
29,Сампдория , Ювентус ,1,0
30,Аталанта , Кальяри ,3,1
30,Бари , Сампдория ,2,1
30,Болонья , Рома ,0,2
30,Катания , Фиорентина ,1,0
30,Дженоа , Палермо ,2,2
30,Интер , Ливорно ,3,0
30,Лацио , Сиена ,2,0
30,Парма , Милан ,1,0
30,Удинезе , Кьево ,0,0
30,Наполи , Ювентус ,3,1
31,Рома , Интер ,2,1
31,Палермо , Болонья ,3,1
31,Кьево , Парма ,0,0
31,Фиорентина , Удинезе ,4,1
31,Ювентус , Аталанта ,2,1
31,Ливорно , Бари ,1,1
31,Наполи , Катания ,1,0
31,Сампдория , Кальяри ,1,1
31,Сиена , Дженоа ,0,0
31,Милан , Лацио ,1,1
32,Аталанта , Сиена ,2,0
32,Бари , Рома ,0,1
32,Кальяри , Милан ,2,3
32,Кьево , Сампдория ,1,2
32,Дженоа , Ливорно ,1,1
32,Интер , Болонья ,3,0
32,Лацио , Наполи ,1,1
32,Парма , Фиорентина ,1,1
32,Катания , Палермо ,2,0
32,Удинезе , Ювентус ,3,0
33,Наполи , Парма ,2,3
33,Фиорентина , Интер ,2,2
33,Болонья , Лацио ,2,3
33,Ювентус , Кальяри ,1,0
33,Ливорно , Удинезе ,0,2
33,Милан , Катания ,2,2
33,Палермо , Кьево ,3,1
33,Рома , Аталанта ,2,1
33,Сиена , Бари ,3,2
33,Сампдория , Дженоа ,1,0
34,Интер , Ювентус ,2,0
34,Кьево , Ливорно ,2,0
34,Аталанта , Фиорентина ,2,1
34,Бари , Наполи ,1,2
34,Кальяри , Палермо ,2,2
34,Катания , Сиена ,2,2
34,Парма , Дженоа ,2,3
34,Сампдория , Милан ,2,1
34,Удинезе , Болонья ,1,1
34,Лацио , Рома ,1,2
35,Интер , Аталанта ,3,1
35,Палермо , Милан ,3,1
35,Болонья , Парма ,2,1
35,Фиорентина , Кьево ,0,2
35,Дженоа , Лацио ,1,2
35,Ювентус , Бари ,3,0
35,Ливорно , Катания ,3,1
35,Наполи , Кальяри ,0,0
35,Удинезе , Сиена ,4,1
35,Рома , Сампдория ,1,2
36,Парма , Рома ,1,2
36,Милан , Фиорентина ,1,0
36,Аталанта , Болонья ,1,1
36,Бари , Дженоа ,3,0
36,Кальяри , Удинезе ,2,2
36,Катания , Ювентус ,1,1
36,Кьево , Наполи ,1,2
36,Сампдория , Ливорно ,2,0
36,Сиена , Палермо ,1,2
36,Лацио , Интер ,0,2
37,Болонья , Катания ,1,1
37,Фиорентина , Сиена ,1,1
37,Дженоа , Милан ,1,0
37,Интер , Кьево ,4,3
37,Ювентус , Парма ,2,3
37,Ливорно , Лацио ,1,2
37,Наполи , Аталанта ,2,0
37,Палермо , Сампдория ,1,1
37,Рома , Кальяри ,2,1
37,Удинезе , Бари ,3,3
38,Лацио , Удинезе ,3,1
38,Милан , Ювентус ,3,0
38,Аталанта , Палермо ,1,2
38,Бари , Фиорентина ,2,0
38,Кальяри , Болонья ,1,1
38,Катания , Дженоа ,1,0
38,Кьево , Рома ,0,2
38,Парма , Ливорно ,4,1
38,Сампдория , Наполи ,1,0
38,Сиена , Интер ,0,1
