9,Фиорентина , Рома ,-,- 
9,Лацио , Торино ,-,- 
9,Кьево , Наполи ,-,- 
10,Болонья , Интер ,-,- 
10,Аталанта , Лацио ,-,- 
10,Фрозиноне , Карпи ,-,- 
10,Верона , Фиорентина ,-,- 
10,Милан , Кьево ,-,- 
10,Наполи , Палермо ,-,- 
10,Рома , Удинезе ,-,- 
10,Сассуоло , Ювентус ,-,- 
10,Торино , Дженоа ,-,- 
10,Сампдория , Эмполи ,-,- 
11,Ювентус , Торино ,-,- 
11,Интер , Рома ,-,- 
11,Фиорентина , Фрозиноне ,-,- 
11,Болонья , Аталанта ,-,- 
11,Карпи , Верона ,-,- 
11,Дженоа , Наполи ,-,- 
11,Удинезе , Сассуоло ,-,- 
11,Лацио , Милан ,-,- 
11,Кьево , Сампдория ,-,- 
11,Палермо , Эмполи ,-,- 
12,Верона , Болонья ,-,- 
12,Милан , Аталанта ,-,- 
12,Торино , Интер ,-,- 
12,Эмполи , Ювентус ,-,- 
12,Фрозиноне , Дженоа ,-,- 
12,Палермо , Кьево ,-,- 
12,Рома , Лацио ,-,- 
12,Сассуоло , Карпи ,-,- 
12,Наполи , Удинезе ,-,- 
12,Сампдория , Фиорентина ,-,- 
13,Болонья , Рома ,-,- 
13,Ювентус , Милан ,-,- 
13,Удинезе , Сампдория ,-,- 
13,Аталанта , Торино ,-,- 
13,Карпи , Кьево ,-,- 
13,Фиорентина , Эмполи ,-,- 
13,Дженоа , Сассуоло ,-,- 
13,Верона , Наполи ,-,- 
13,Лацио , Палермо ,-,- 
13,Интер , Фрозиноне ,-,- 
14,Торино , Болонья ,-,- 
14,Милан , Сампдория ,-,- 
14,Кьево , Удинезе ,-,- 
14,Фрозиноне , Верона ,-,- 
14,Дженоа , Карпи ,-,- 
14,Рома , Аталанта ,-,- 
14,Эмполи , Лацио ,-,- 
14,Палермо , Ювентус ,-,- 
14,Сассуоло , Фиорентина ,-,- 
14,Наполи , Интер ,-,- 
15,Лацио , Ювентус ,-,- 
15,Торино , Рома ,-,- 
15,Интер , Дженоа ,-,- 
15,Болонья , Наполи ,-,- 
15,Аталанта , Палермо ,-,- 
15,Фиорентина , Удинезе ,-,- 
15,Фрозиноне , Кьево ,-,- 
15,Верона , Эмполи ,-,- 
15,Сампдория , Сассуоло ,-,- 
15,Карпи , Милан ,-,- 
16,Дженоа , Болонья ,-,- 
16,Палермо , Фрозиноне ,-,- 
16,Сассуоло , Торино ,-,- 
16,Удинезе , Интер ,-,- 
16,Кьево , Аталанта ,-,- 
16,Эмполи , Карпи ,-,- 
16,Милан , Верона ,-,- 
16,Наполи , Рома ,-,- 
16,Ювентус , Фиорентина ,-,- 
16,Лацио , Сампдория ,-,- 
17,Болонья , Эмполи ,-,- 
