7,Наполи , Удинезе ,2,1
8,Ювентус , Наполи ,2,0
8,Лацио , Милан ,3,2
8,Кальяри , Болонья ,1,0
8,Аталанта , Сиена ,2,1
8,Кьево , Фиорентина ,1,1
8,Интер , Катания ,2,0
8,Палермо , Торино ,0,0
8,Парма , Сампдория ,2,1
8,Удинезе , Пескара ,1,0
8,Дженоа , Рома ,2,4
9,Сиена , Палермо ,0,0
9,Милан , Дженоа ,1,0
9,Катания , Ювентус ,0,1
9,Болонья , Интер ,1,3
9,Фиорентина , Лацио ,2,0
9,Пескара , Аталанта ,0,0
9,Сампдория , Кальяри ,0,1
9,Торино , Парма ,1,3
9,Наполи , Кьево ,1,0
9,Рома , Удинезе ,2,3
10,Палермо , Милан ,2,2
10,Аталанта , Наполи ,1,0
10,Кальяри , Сиена ,4,2
10,Кьево , Пескара ,2,0
10,Интер , Сампдория ,3,2
10,Ювентус , Болонья ,2,1
10,Лацио , Торино ,1,1
10,Парма , Рома ,3,2
10,Удинезе , Катания ,2,2
10,Дженоа , Фиорентина ,0,1
11,Милан , Кьево ,5,1
11,Ювентус , Интер ,1,3
11,Пескара , Парма ,2,0
11,Болонья , Удинезе ,1,1
11,Катания , Лацио ,4,0
11,Фиорентина , Кальяри ,4,1
11,Наполи , Торино ,1,1
11,Сампдория , Аталанта ,1,2
11,Сиена , Дженоа ,1,0
11,Рома , Палермо ,4,1
12,Кальяри , Катания ,0,0
12,Пескара , Ювентус ,1,6
12,Палермо , Сампдория ,2,0
12,Кьево , Удинезе ,2,2
12,Дженоа , Наполи ,2,4
12,Лацио , Рома ,3,2
12,Милан , Фиорентина ,1,3
12,Парма , Сиена ,0,0
12,Торино , Болонья ,1,0
12,Аталанта , Интер ,3,2
13,Ювентус , Лацио ,0,0
13,Наполи , Милан ,2,2
13,Болонья , Палермо ,3,0
13,Катания , Кьево ,2,1
13,Фиорентина , Аталанта ,4,1
13,Интер , Кальяри ,2,2
13,Сиена , Пескара ,1,0
13,Удинезе , Парма ,2,2
13,Сампдория , Дженоа ,3,1
13,Рома , Торино ,2,0
14,Палермо , Катания ,3,1
14,Аталанта , Дженоа ,0,1
14,Кьево , Сиена ,0,0
14,Пескара , Рома ,0,1
14,Сампдория , Болонья ,1,0
14,Торино , Фиорентина ,2,2
14,Милан , Ювентус ,1,0
14,Кальяри , Наполи ,0,1
14,Парма , Интер ,1,0
14,Лацио , Удинезе ,3,0
15,Катания , Милан ,1,3
15,Ювентус , Торино ,3,0
15,Наполи , Пескара ,5,1
15,Болонья , Аталанта ,2,1
15,Дженоа , Кьево ,2,4
15,Интер , Палермо ,1,0
15,Лацио , Парма ,2,1
15,Сиена , Рома ,1,3
15,Удинезе , Кальяри ,4,1
15,Фиорентина , Сампдория ,2,2
16,Аталанта , Парма ,2,1
16,Рома , Фиорентина ,4,2
16,Кальяри , Кьево ,0,2
16,Палермо , Ювентус ,0,1
16,Пескара , Дженоа ,2,0
16,Сиена , Катания ,1,3
16,Торино , Милан ,2,4
16,Интер , Наполи ,2,1
16,Сампдория , Удинезе ,0,2
16,Болонья , Лацио ,0,0
17,Удинезе , Палермо ,1,1
17,Лацио , Интер ,1,0
17,Фиорентина , Сиена ,4,1
17,Катания , Сампдория ,3,1
17,Кьево , Рома ,1,0
17,Дженоа , Торино ,1,1
17,Ювентус , Аталанта ,3,0
17,Милан , Пескара ,4,1
17,Парма , Кальяри ,4,1
17,Наполи , Болонья ,2,3
18,Пескара , Катания ,2,1
18,Кальяри , Ювентус ,1,3
18,Интер , Дженоа ,1,1
18,Аталанта , Удинезе ,1,1
18,Болонья , Парма ,1,2
18,Палермо , Фиорентина ,0,3
18,Сампдория , Лацио ,0,1
18,Сиена , Наполи ,0,2
18,Торино , Кьево ,2,0
18,Рома , Милан ,4,2
19,Катания , Торино ,0,0
19,Лацио , Кальяри ,2,1
19,Удинезе , Интер ,3,0
19,Кьево , Аталанта ,1,0
19,Фиорентина , Пескара ,0,2
19,Дженоа , Болонья ,2,0
19,Ювентус , Сампдория ,1,2
19,Милан , Сиена ,2,1
19,Парма , Палермо ,2,1
