9,Дженоа , Ювентус ,1,0
9,Интер , Сампдория ,1,0
9,Палермо , Кьево ,1,0
9,Рома , Чезена ,2,0
9,Торино , Парма ,1,0
9,Верона , Лацио ,1,1
10,Наполи , Рома ,2,0
10,Эмполи , Ювентус ,0,2
10,Парма , Интер ,2,0
10,Кьево , Сассуоло ,0,0
10,Сампдория , Фиорентина ,3,1
10,Торино , Аталанта ,0,0
10,Удинезе , Дженоа ,2,4
10,Милан , Палермо ,0,2
10,Чезена , Верона ,1,1
10,Лацио , Кальяри ,4,2
11,Сассуоло , Аталанта ,0,0
11,Сампдория , Милан ,2,2
11,Кальяри , Дженоа ,1,1
11,Кьево , Чезена ,2,1
11,Эмполи , Лацио ,2,1
11,Ювентус , Парма ,7,0
11,Палермо , Удинезе ,1,1
11,Фиорентина , Наполи ,0,1
11,Интер , Верона ,2,2
11,Рома , Торино ,3,0
12,Аталанта , Рома ,1,2
12,Лацио , Ювентус ,0,3
12,Торино , Сассуоло ,0,1
12,Чезена , Сампдория ,1,1
12,Верона , Фиорентина ,1,2
12,Наполи , Кальяри ,3,3
12,Парма , Эмполи ,0,2
12,Удинезе , Кьево ,1,1
12,Милан , Интер ,1,1
12,Дженоа , Палермо ,1,1
13,Сассуоло , Верона ,2,1
13,Кьево , Лацио ,0,0
13,Кальяри , Фиорентина ,0,4
13,Чезена , Дженоа ,0,3
13,Эмполи , Аталанта ,0,0
13,Милан , Удинезе ,2,0
13,Палермо , Парма ,2,1
13,Ювентус , Торино ,2,1
13,Рома , Интер ,4,2
13,Сампдория , Наполи ,1,1
14,Фиорентина , Ювентус ,0,0
14,Рома , Сассуоло ,2,2
14,Торино , Палермо ,2,2
14,Наполи , Эмполи ,2,2
14,Аталанта , Чезена ,3,2
14,Дженоа , Милан ,1,0
14,Парма , Лацио ,1,2
14,Интер , Удинезе ,1,2
14,Кальяри , Кьево ,0,2
14,Верона , Сампдория ,1,3
15,Палермо , Сассуоло ,2,1
15,Лацио , Аталанта ,3,0
15,Ювентус , Сампдория ,1,1
15,Дженоа , Рома ,0,1
15,Парма , Кальяри ,0,0
15,Удинезе , Верона ,1,2
15,Чезена , Фиорентина ,1,4
15,Милан , Наполи ,2,0
15,Эмполи , Торино ,0,0
15,Кьево , Интер ,0,2
16,Кальяри , Ювентус ,1,3
16,Наполи , Парма ,2,0
16,Сассуоло , Чезена ,1,1
16,Рома , Милан ,0,0
16,Верона , Кьево ,0,1
16,Аталанта , Палермо ,3,3
16,Фиорентина , Эмполи ,1,1
16,Сампдория , Удинезе ,2,2
16,Торино , Дженоа ,2,1
16,Интер , Лацио ,2,2
17,Лацио , Сампдория ,3,0
17,Удинезе , Рома ,0,1
17,Кьево , Торино ,0,0
17,Эмполи , Верона ,0,0
17,Дженоа , Аталанта ,2,2
17,Милан , Сассуоло ,1,2
17,Палермо , Кальяри ,5,0
17,Парма , Фиорентина ,1,0
17,Чезена , Наполи ,1,4
17,Ювентус , Интер ,1,1
18,Сассуоло , Удинезе ,1,1
18,Торино , Милан ,1,1
18,Интер , Дженоа ,3,1
18,Аталанта , Кьево ,1,1
18,Кальяри , Чезена ,2,1
18,Фиорентина , Палермо ,4,3
18,Верона , Парма ,3,1
18,Рома , Лацио ,2,2
18,Сампдория , Эмполи ,1,0
18,Наполи , Ювентус ,1,3
19,Эмполи , Интер ,0,0
19,Палермо , Рома ,1,1
19,Лацио , Наполи ,0,1
19,Чезена , Торино ,2,3
19,Кьево , Фиорентина ,1,2
19,Дженоа , Сассуоло ,3,3
19,Милан , Аталанта ,0,1
