12,Крылья,Волга,0,1
13,Локомотив,Амкар,1,2
13,Кубань,Ростов,1,0
13,Спартак,Мордовия,2,0
13,Волга,Краснодар,1,1
13,Алания,Зенит,2,3
13,Динамо,Крылья,1,0
13,Терек,ЦСКА,1,2
13,Рубин,Анжи,2,1
14,Зенит,Ростов,2,1
14,Амкар,Кубань,0,3
14,Крылья,Спартак,0,5
14,Мордовия,Рубин,1,3
14,ЦСКА,Локомотив,2,1
14,Анжи,Терек,3,1
14,Краснодар,Динамо,2,0
14,Алания,Волга,0,2
15,Ростов,Амкар,3,0
15,Динамо,Алания,2,0
15,Терек,Мордовия,2,1
15,Кубань,ЦСКА,1,3
15,Локомотив,Анжи,1,1
15,Рубин,Крылья,2,0
15,Волга,Зенит,1,2
15,Спартак,Краснодар,2,0
16,Волга,Спартак,1,1
16,Динамо,Зенит,3,0
16,Алания,Рубин,0,2
16,ЦСКА,Амкар,3,0
16,Мордовия,Кубань,0,3
16,Анжи,Ростов,0,0
16,Крылья,Локомотив,0,1
16,Краснодар,Терек,3,0
17,Ростов,Мордовия,2,0
17,Терек,Алания,1,0
17,Локомотив,Краснодар,3,2
17,Спартак,Динамо,1,5
17,Кубань,Крылья,4,1
17,Амкар,Анжи,1,2
17,Рубин,Волга,0,0
17,Зенит,ЦСКА,1,1
18,Краснодар,Кубань,2,1
18,Спартак,Зенит,2,4
18,Динамо,Рубин,3,0
18,Алания,Локомотив,0,1
18,Волга,Терек,1,1
18,Анжи,ЦСКА,2,0
18,Крылья,Ростов,0,2
18,Мордовия,Амкар,1,1
19,Ростов,Краснодар,2,3
19,Амкар,Крылья,0,2
19,Кубань,Алания,0,0
19,Локомотив,Волга,0,1
19,Терек,Динамо,1,2
19,ЦСКА,Мордовия,2,1
19,Рубин,Спартак,0,1
19,Зенит,Анжи,1,1
20,Волга,Кубань,0,2
20,Краснодар,Амкар,2,1
20,Динамо,Локомотив,1,0
20,Крылья,ЦСКА,0,2
20,Алания,Ростов,0,0
20,Спартак,Терек,3,1
20,Рубин,Зенит,1,0
20,Мордовия,Анжи,2,0
21,Ростов,Волга,1,2
21,Спартак,Локомотив,0,0
21,Амкар,Алания,5,1
21,Кубань,Динамо,1,1
21,ЦСКА,Краснодар,1,0
21,Анжи,Крылья,1,1
21,Терек,Рубин,0,0
21,Зенит,Мордовия,1,0
22,Рубин,Локомотив,2,0
22,Крылья,Мордовия,0,2
22,Динамо,Ростов,1,0
22,Волга,Амкар,1,1
22,Краснодар,Анжи,4,0
22,Терек,Зенит,0,3
22,Спартак,Кубань,2,2
22,Алания,ЦСКА,0,4
23,Амкар,Динамо,1,1
23,ЦСКА,Волга,2,0
23,Ростов,Спартак,1,0
23,Локомотив,Терек,1,1
23,Зенит,Крылья,1,0
23,Анжи,Алания,0,0
23,Кубань,Рубин,0,0
23,Мордовия,Краснодар,0,0
24,Динамо,ЦСКА,0,0
24,Локомотив,Зенит,0,1
24,Терек,Кубань,2,2
24,Краснодар,Крылья,0,3
24,Волга,Анжи,0,3
24,Спартак,Амкар,2,0
24,Рубин,Ростов,1,1
24,Алания,Мордовия,3,1
25,Амкар,Рубин,1,1
25,Мордовия,Волга,1,3
25,Крылья,Алания,2,1
25,Кубань,Локомотив,0,0
25,ЦСКА,Спартак,2,2
25,Зенит,Краснодар,1,0
25,Анжи,Динамо,3,3
25,Ростов,Терек,0,3
26,Волга,Крылья,1,1
26,Динамо,Мордовия,3,1
26,Терек,Амкар,2,1
26,Локомотив,Ростов,3,1
26,Спартак,Анжи,2,0
26,Кубань,Зенит,2,2
26,Рубин,ЦСКА,2,0
26,Алания,Краснодар,2,3
27,Мордовия,Спартак,2,1
27,ЦСКА,Терек,1,0
