7,Вильярреал , Сарагоса ,2,2
7,Расинг , Райо Вальекано ,1,1
7,Валенсия , Гранада ,1,0
7,Малага , Хетафе ,3,2
7,Реал Сосьедад , Атлетик Б ,1,2
7,Бетис , Леванте ,0,1
7,Атлетико М , Севилья ,0,0
7,Спортинг Хихон , Барселона ,0,1
7,Эспаньол , Реал Мадрид ,0,4
8,Мальорка , Валенсия ,1,1
8,Хетафе , Вильярреал ,0,0
8,Реал Мадрид , Бетис ,4,1
8,Барселона , Расинг ,3,0
8,Гранада , Атлетико М ,0,0
8,Райо Вальекано , Эспаньол ,0,1
8,Сарагоса , Реал Сосьедад ,2,0
8,Леванте , Малага ,3,0
8,Севилья , Спортинг Хихон ,2,1
8,Атлетик Б , Осасуна ,3,1
9,Спортинг Хихон , Гранада ,2,0
9,Расинг , Эспаньол ,0,1
9,Малага , Реал Мадрид ,0,4
9,Барселона , Севилья ,0,0
9,Бетис , Райо Вальекано ,0,2
9,Реал Сосьедад , Хетафе ,0,0
9,Атлетико М , Мальорка ,1,1
9,Осасуна , Сарагоса ,3,0
9,Валенсия , Атлетик Б ,1,1
9,Вильярреал , Леванте ,0,3
10,Гранада , Барселона ,0,1
10,Севилья , Расинг ,2,2
10,Сарагоса , Валенсия ,0,1
10,Хетафе , Осасуна ,2,2
10,Леванте , Реал Сосьедад ,3,2
10,Райо Вальекано , Малага ,2,0
10,Мальорка , Спортинг Хихон ,1,2
10,Реал Мадрид , Вильярреал ,3,0
10,Эспаньол , Бетис ,1,0
10,Атлетик Б , Атлетико М ,3,0
11,Валенсия , Хетафе ,3,1
11,Вильярреал , Райо Вальекано ,2,0
11,Барселона , Мальорка ,5,0
11,Реал Сосьедад , Реал Мадрид ,0,1
11,Спортинг Хихон , Атлетик Б ,1,1
11,Осасуна , Леванте ,2,0
11,Расинг , Бетис ,1,0
11,Атлетико М , Сарагоса ,3,1
11,Малага , Эспаньол ,2,1
11,Севилья , Гранада ,1,2
12,Мальорка , Севилья ,0,0
12,Бетис , Малага ,0,0
12,Леванте , Валенсия ,0,2
12,Реал Мадрид , Осасуна ,7,1
12,Гранада , Расинг ,0,0
12,Сарагоса , Спортинг Хихон ,2,2
12,Райо Вальекано , Реал Сосьедад ,4,0
12,Эспаньол , Вильярреал ,0,0
12,Атлетик Б , Барселона ,2,2
12,Хетафе , Атлетико М ,3,2
13,Вильярреал , Бетис ,1,0
13,Барселона , Сарагоса ,4,0
13,Валенсия , Реал Мадрид ,2,3
13,Реал Сосьедад , Эспаньол ,0,0
13,Спортинг Хихон , Хетафе ,2,1
13,Осасуна , Райо Вальекано ,0,0
13,Севилья , Атлетик Б ,1,2
13,Атлетико М , Леванте ,3,2
13,Расинг , Малага ,1,3
13,Гранада , Мальорка ,2,2
14,Райо Вальекано , Валенсия ,1,2
14,Реал Мадрид , Атлетико М ,4,1
14,Хетафе , Барселона ,1,0
14,Бетис , Реал Сосьедад ,2,3
14,Леванте , Спортинг Хихон ,4,0
14,Мальорка , Расинг ,2,1
14,Эспаньол , Осасуна ,1,2
14,Атлетик Б , Гранада ,0,1
14,Сарагоса , Севилья ,0,1
14,Малага , Вильярреал ,2,1
