15,Тенерифе  , Атлетико М ,1,1
15,Депортиво , Валенсия ,0,0
16,Валенсия , Эспаньол ,1,0
16,Барселона , Вильярреал ,1,1
16,Атлетико М , Севилья ,2,1
16,Спортинг Хихон , Малага ,2,2
16,Хетафе , Вальядолид ,1,0
16,Расинг , Тенерифе  ,2,0
16,Альмерия , Херес ,1,0
16,Сарагоса , Депортиво ,0,0
16,Мальорка , Атлетик Б ,2,0
16,Осасуна , Реал Мадрид ,0,0
17,Вальядолид , Атлетико М ,0,4
17,Севилья , Расинг ,1,2
17,Вильярреал , Альмерия ,1,1
17,Спортинг Хихон , Хетафе ,1,0
17,Херес , Валенсия ,1,3
17,Эспаньол , Сарагоса ,2,1
17,Депортиво , Осасуна ,1,0
17,Малага , Атлетик Б ,1,1
17,Реал Мадрид , Мальорка ,2,0
17,Тенерифе  , Барселона ,0,5
18,Осасуна , Эспаньол ,2,0
18,Атлетик Б , Реал Мадрид ,1,0
18,Барселона , Севилья ,4,0
18,Малага , Хетафе ,1,0
18,Расинг , Вальядолид ,1,1
18,Альмерия , Тенерифе  ,1,1
18,Сарагоса , Херес ,0,0
18,Мальорка , Депортиво ,2,0
18,Атлетико М , Спортинг Хихон ,3,2
18,Валенсия , Вильярреал ,4,1
19,Севилья , Альмерия ,1,0
19,Вальядолид , Барселона ,0,3
19,Депортиво , Атлетик Б ,3,1
19,Спортинг Хихон , Расинг ,0,1
19,Тенерифе  , Валенсия ,0,0
19,Вильярреал , Сарагоса ,4,2
19,Херес , Осасуна ,1,2
19,Эспаньол , Мальорка ,1,1
19,Хетафе , Атлетико М ,1,0
19,Реал Мадрид , Малага ,2,0
20,Эспаньол , Атлетик Б ,1,0
20,Спортинг Хихон , Барселона ,0,1
20,Депортиво , Реал Мадрид ,1,3
20,Херес , Мальорка ,2,1
20,Вильярреал , Осасуна ,0,2
20,Тенерифе  , Сарагоса ,1,3
20,Вальядолид , Альмерия ,1,1
20,Хетафе , Расинг ,0,0
20,Атлетико М , Малага ,0,2
20,Севилья , Валенсия ,2,1
21,Валенсия , Вальядолид ,2,0
21,Барселона , Хетафе ,2,1
21,Реал Мадрид , Эспаньол ,3,0
21,Малага , Депортиво ,0,0
21,Атлетик Б , Херес ,3,2
21,Мальорка , Вильярреал ,1,0
21,Осасуна , Тенерифе  ,1,0
21,Альмерия , Спортинг Хихон ,3,1
21,Сарагоса , Севилья ,2,1
21,Расинг , Атлетико М ,1,1
22,Спортинг Хихон , Валенсия ,1,1
22,Херес , Реал Мадрид ,0,3
22,Вильярреал , Атлетик Б ,2,1
22,Эспаньол , Депортиво ,2,0
22,Вальядолид , Сарагоса ,1,1
22,Хетафе , Альмерия ,2,2
22,Расинг , Малага ,0,3
22,Севилья , Осасуна ,1,0
22,Атлетико М , Барселона ,2,1
22,Тенерифе  , Мальорка ,1,0
23,Депортиво , Херес ,2,1
23,Барселона , Расинг ,4,0
23,Мальорка , Севилья ,1,3
23,Малага , Эспаньол ,2,1
23,Атлетик Б , Тенерифе  ,4,1
23,Осасуна , Вальядолид ,1,1
23,Сарагоса , Спортинг Хихон ,1,3
23,Альмерия , Атлетико М ,1,0
23,Реал Мадрид , Вильярреал ,6,2
23,Валенсия , Хетафе ,2,1
24,Хетафе , Сарагоса ,0,2
24,Тенерифе  , Реал Мадрид ,1,5
24,Барселона , Малага ,2,1
24,Херес , Эспаньол ,1,1
24,Вильярреал , Депортиво ,1,0
24,Вальядолид , Мальорка ,1,2
24,Спортинг Хихон , Осасуна ,3,2
24,Расинг , Альмерия ,0,2
24,Севилья , Атлетик Б ,0,0
24,Атлетико М , Валенсия ,4,1
25,Депортиво , Тенерифе  ,3,1
25,Альмерия , Барселона ,2,2
25,Реал Мадрид , Севилья ,3,2
25,Малага , Херес ,2,4
25,Эспаньол , Вильярреал ,0,0
25,Мальорка , Спортинг Хихон ,3,0
25,Осасуна , Хетафе ,0,0
25,Атлетик Б , Вальядолид ,2,0
25,Сарагоса , Атлетико М ,1,1
25,Валенсия , Расинг ,0,0
26,Хетафе , Мальорка ,3,0
26,Спортинг Хихон , Атлетик Б ,0,0
26,Севилья , Депортиво ,1,1
26,Вильярреал , Херес ,2,0
26,Тенерифе  , Эспаньол ,4,1
26,Расинг , Сарагоса ,0,0
26,Альмерия , Малага ,1,0
26,Барселона , Валенсия ,3,0
26,Вальядолид , Реал Мадрид ,1,4
26,Атлетико М , Осасуна ,1,0
27,Херес , Тенерифе  ,2,1
27,Депортиво , Вальядолид ,0,2
27,Атлетик Б , Хетафе ,2,2
27,Реал Мадрид , Спортинг Хихон ,3,1
27,Эспаньол , Севилья ,2,0
27,Малага , Вильярреал ,2,0
27,Мальорка , Атлетико М ,4,1
27,Осасуна , Расинг ,1,3
27,Валенсия , Альмерия ,2,0
27,Сарагоса , Барселона ,2,4
28,Спортинг Хихон , Депортиво ,2,1
28,Севилья , Херес ,1,1
28,Тенерифе  , Вильярреал ,2,2
28,Вальядолид , Эспаньол ,0,0
28,Расинг , Мальорка ,0,0
28,Барселона , Осасуна ,2,0
28,Альмерия , Сарагоса ,1,0
28,Валенсия , Малага ,1,0
28,Хетафе , Реал Мадрид ,2,4
28,Атлетико М , Атлетик Б ,2,0
29,Малага , Тенерифе  ,1,1
29,Мальорка , Барселона ,0,1
29,Сарагоса , Валенсия ,3,0
29,Херес , Вальядолид ,3,0
29,Эспаньол , Спортинг Хихон ,0,0
29,Депортиво , Хетафе ,1,3
29,Осасуна , Альмерия ,1,0
29,Вильярреал , Севилья ,3,0
29,Реал Мадрид , Атлетико М ,3,2
29,Атлетик Б , Расинг ,4,3
