9,Рекреативо , Хетафе ,1,1
9,Вальядолид , Севилья ,3,2
9,Эспаньол , Осасуна ,1,0
9,Спортинг Хихон , Нумансия ,3,1
9,Альмерия , Реал Мадрид ,1,1
9,Бетис , Депортиво ,0,3
10,Реал Мадрид , Малага ,4,3
10,Барселона , Вальядолид ,6,0
10,Вильярреал , Альмерия ,2,1
10,Мальорка , Атлетик Б ,3,3
10,Осасуна , Атлетико М ,0,0
10,Депортиво , Эспаньол ,1,0
10,Нумансия , Бетис ,2,4
10,Расинг , Спортинг Хихон ,1,0
10,Севилья , Рекреативо ,1,0
10,Хетафе , Валенсия ,0,3
11,Вальядолид , Реал Мадрид ,1,0
11,Валенсия , Спортинг Хихон ,2,3
11,Хетафе , Севилья ,0,2
11,Малага , Вильярреал ,2,2
11,Альмерия , Мальорка ,2,1
11,Атлетико М , Депортиво ,4,1
11,Эспаньол , Нумансия ,3,4
11,Бетис , Расинг ,3,1
11,Атлетик Б , Осасуна ,2,0
11,Рекреативо , Барселона ,0,2
12,Реал Мадрид , Рекреативо ,1,0
12,Вильярреал , Вальядолид ,0,3
12,Севилья , Валенсия ,0,0
12,Мальорка , Малага ,2,2
12,Осасуна , Альмерия ,3,1
12,Нумансия , Атлетико М ,1,1
12,Расинг , Эспаньол ,3,0
12,Спортинг Хихон , Бетис ,1,2
12,Барселона , Хетафе ,1,1
12,Депортиво , Атлетик Б ,3,1
13,Хетафе , Реал Мадрид ,3,1
13,Севилья , Барселона ,0,3
13,Рекреативо , Вильярреал ,1,2
13,Вальядолид , Мальорка ,3,0
13,Малага , Осасуна ,4,2
13,Альмерия , Депортиво ,0,1
13,Атлетик Б , Нумансия ,2,0
13,Эспаньол , Спортинг Хихон ,0,1
13,Валенсия , Бетис ,3,2
13,Атлетико М , Расинг ,4,1
14,Вильярреал , Хетафе ,3,3
14,Спортинг Хихон , Атлетико М ,2,5
14,Барселона , Валенсия ,4,0
14,Мальорка , Рекреативо ,2,3
14,Осасуна , Вальядолид ,3,3
14,Депортиво , Малага ,2,0
14,Нумансия , Альмерия ,2,1
14,Расинг , Атлетик Б ,1,1
14,Бетис , Эспаньол ,1,1
14,Реал Мадрид , Севилья ,3,4
15,Валенсия , Эспаньол ,2,1
15,Барселона , Реал Мадрид ,2,0
