26,Шальке-04 , Штутгарт ,1,0
26,Алемания , Арминия ,2,0
26,Вольфсбург , Бохум ,3,1
26,Байер , Боруссия М ,1,0
26,Вердер , Майнц ,2,0
27,Арминия , Боруссия Д ,1,0
27,Энерги , Вердер ,0,0
27,Бавария , Шальке-04 ,2,0
27,Майнц , Байер ,1,3
27,Нюрнберг , Герта ,2,1
27,Боруссия М , Айнтрахт ,1,1
27,Штутгарт , Алемания ,3,1
27,Бохум , Ганновер-96 ,2,0
27,Гамбург , Вольфсбург ,1,0
28,Ганновер-96 , Бавария ,1,2
28,Алемания , Боруссия Д ,1,4
28,Гамбург , Штутгарт ,2,4
28,Шальке-04 , Боруссия М ,2,0
28,Вольфсбург , Майнц ,3,2
28,Герта , Арминия ,1,1
28,Айнтрахт , Энерги ,1,3
28,Вердер , Нюрнберг ,1,0
28,Байер , Бохум ,1,4
29,Боруссия М , Гамбург ,0,1
29,Майнц , Шальке-04 ,0,3
29,Бохум , Герта ,1,3
29,Штутгарт , Ганновер-96 ,2,1
29,Арминия , Айнтрахт ,2,4
29,Энерги , Вольфсбург ,3,2
29,Нюрнберг , Алемания ,1,0
29,Боруссия Д , Вердер ,0,2
29,Бавария , Байер ,2,1
30,Вердер , Алемания ,3,1
30,Штутгарт , Бавария ,2,0
30,Герта , Боруссия Д ,0,1
30,Байер , Нюрнберг ,2,0
30,Вольфсбург , Арминия ,2,3
30,Айнтрахт , Бохум ,0,3
30,Шальке-04 , Энерги ,2,0
30,Ганновер-96 , Боруссия М ,1,0
30,Гамбург , Майнц ,2,2
31,Бохум , Шальке-04 ,2,1
31,Бавария , Гамбург ,1,2
31,Алемания , Герта ,0,4
31,Боруссия М , Штутгарт ,0,1
31,Майнц , Ганновер-96 ,1,2
31,Боруссия Д , Айнтрахт ,2,0
31,Нюрнберг , Вольфсбург ,1,1
31,Арминия , Вердер ,3,2
31,Энерги , Байер ,2,1
32,Ганновер-96 , Энерги ,2,0
32,Боруссия М , Бавария ,1,1
32,Вольфсбург , Боруссия Д ,0,2
32,Шальке-04 , Нюрнберг ,1,0
32,Штутгарт , Майнц ,2,0
32,Гамбург , Бохум ,0,3
32,Айнтрахт , Алемания ,4,0
32,Герта , Вердер ,1,4
32,Байер , Арминия ,1,2
33,Энерги , Бавария ,0,3
33,Нюрнберг , Гамбург ,0,2
33,Боруссия Д , Шальке-04 ,2,0
33,Герта , Байер ,2,3
33,Бохум , Штутгарт ,2,3
33,Майнц , Боруссия М ,3,0
33,Арминия , Ганновер-96 ,3,1
33,Вердер , Айнтрахт ,1,2
33,Алемания , Вольфсбург ,2,2
34,Вольфсбург , Вердер ,0,2
34,Айнтрахт , Герта ,1,2
34,Байер , Боруссия Д ,2,1
34,Ганновер-96 , Нюрнберг ,0,3
34,Бавария , Майнц ,5,2
34,Шальке-04 , Арминия ,2,1
34,Боруссия М , Бохум ,0,2
34,Гамбург , Алемания ,4,0
34,Штутгарт , Энерги ,2,1
