33,Хоффенхайм , Гамбург ,1,4
33,Вольфсбург , Боруссия Д ,3,3
33,Вердер , Айнтрахт ,1,1
34,Боруссия М , Бавария ,3,4
34,Ганновер-96 , Фортуна ,3,0
34,Фрайбург , Шальке-04 ,1,2
34,Гамбург , Байер ,0,1
34,Айнтрахт , Вольфсбург ,2,2
34,Нюрнберг , Вердер ,3,2
34,Боруссия Д , Хоффенхайм ,1,2
34,Штутгарт , Майнц ,2,2
34,Аугсбург , Гройтер Фюрт ,3,1
