25,Фрайбург , Ганновер-96 ,1,2
25,Вольфсбург , Бохум ,4,1
25,Боруссия Д , Боруссия М ,3,0
25,Нюрнберг , Байер ,3,2
25,Хоффенхайм , Майнц ,0,1
26,Шальке-04 , Штутгарт ,2,1
26,Боруссия М , Вольфсбург ,0,4
26,Бохум , Боруссия Д ,1,4
26,Майнц , Кёльн ,1,0
26,Ганновер-96 , Айнтрахт ,2,1
26,Герта , Нюрнберг ,1,2
26,Бавария , Фрайбург ,2,1
26,Хоффенхайм , Вердер ,0,1
26,Байер , Гамбург ,4,2
27,Кёльн , Боруссия М ,1,1
27,Айнтрахт , Бавария ,2,1
27,Нюрнберг , Хоффенхайм ,0,0
27,Штутгарт , Ганновер-96 ,2,0
27,Вердер , Бохум ,3,2
27,Фрайбург , Майнц ,1,0
27,Боруссия Д , Байер ,3,0
27,Гамбург , Шальке-04 ,2,2
27,Вольфсбург , Герта ,1,5
28,Бохум , Айнтрахт ,1,2
28,Майнц , Вольфсбург ,0,2
28,Бавария , Штутгарт ,1,2
28,Герта , Боруссия Д ,0,0
28,Ганновер-96 , Кёльн ,1,4
28,Вердер , Нюрнберг ,4,2
28,Байер , Шальке-04 ,0,2
28,Хоффенхайм , Фрайбург ,1,1
28,Боруссия М , Гамбург ,1,0
29,Шальке-04 , Бавария ,1,2
29,Айнтрахт , Байер ,3,2
29,Боруссия Д , Вердер ,2,1
29,Фрайбург , Бохум ,1,1
29,Штутгарт , Боруссия М ,2,1
29,Нюрнберг , Майнц ,2,0
29,Кёльн , Герта ,0,3
29,Вольфсбург , Хоффенхайм ,4,0
29,Гамбург , Ганновер-96 ,0,0
30,Боруссия М , Айнтрахт ,2,0
30,Герта , Штутгарт ,0,1
30,Майнц , Боруссия Д ,1,0
30,Ганновер-96 , Шальке-04 ,4,2
30,Хоффенхайм , Кёльн ,0,2
30,Вердер , Фрайбург ,4,0
30,Байер , Бавария ,1,1
30,Бохум , Гамбург ,1,2
30,Нюрнберг , Вольфсбург ,0,2
31,Кёльн , Бохум ,2,0
31,Штутгарт , Байер ,2,1
31,Вольфсбург , Вердер ,2,4
31,Шальке-04 , Боруссия М ,3,1
31,Гамбург , Майнц ,0,1
31,Фрайбург , Нюрнберг ,2,1
31,Бавария , Ганновер-96 ,7,0
31,Боруссия Д , Хоффенхайм ,1,1
31,Айнтрахт , Герта ,2,2
32,Бохум , Штутгарт ,0,2
32,Боруссия М , Бавария ,1,1
32,Нюрнберг , Боруссия Д ,2,3
32,Герта , Шальке-04 ,0,1
32,Байер , Ганновер-96 ,3,0
32,Майнц , Айнтрахт ,3,3
32,Вердер , Кёльн ,1,0
32,Хоффенхайм , Гамбург ,5,1
32,Фрайбург , Вольфсбург ,1,0
33,Боруссия Д , Вольфсбург ,1,1
33,Байер , Герта ,1,1
33,Айнтрахт , Хоффенхайм ,1,2
33,Шальке-04 , Вердер ,0,2
33,Бавария , Бохум ,3,1
33,Ганновер-96 , Боруссия М ,6,1
33,Кёльн , Фрайбург ,2,2
33,Штутгарт , Майнц ,2,2
33,Гамбург , Нюрнберг ,4,0
34,Герта , Бавария ,1,3
34,Хоффенхайм , Штутгарт ,1,1
34,Вердер , Гамбург ,1,1
34,Фрайбург , Боруссия Д ,3,1
34,Майнц , Шальке-04 ,0,0
34,Боруссия М , Байер ,1,1
34,Бохум , Ганновер-96 ,0,3
34,Нюрнберг , Кёльн ,1,0
34,Вольфсбург , Айнтрахт ,3,1
