26,Вердер , Дуйсбург ,1,2
26,Ганновер-96 , Штутгарт ,0,0
26,Энерги , Герта ,2,1
27,Дуйсбург , Энерги ,0,1
27,Герта , Вердер ,1,2
27,Айнтрахт , Нюрнберг ,1,3
27,Штутгарт , Гамбург ,1,0
27,Вольфсбург , Ганновер-96 ,3,2
27,Арминия , Карлсруэ ,1,0
27,Шальке-04 , Ганза ,1,0
27,Боруссия Д , Байер ,2,1
27,Бавария , Бохум ,3,1
28,Вердер , Шальке-04 ,5,1
28,Бохум , Герта ,1,1
28,Энерги , Арминия ,1,0
28,Ганновер-96 , Айнтрахт ,2,1
28,Карлсруэ , Ганза ,1,2
28,Гамбург , Дуйсбург ,0,1
28,Байер , Штутгарт ,3,0
28,Бавария , Боруссия Д ,5,0
29,Ганза , Вердер ,1,2
29,Герта , Гамбург ,0,0
29,Вольфсбург , Бохум ,0,1
29,Шальке-04 , Энерги ,5,0
29,Айнтрахт , Бавария ,1,3
29,Арминия , Байер ,1,0
29,Штутгарт , Нюрнберг ,3,0
29,Боруссия Д , Ганновер-96 ,1,3
29,Дуйсбург , Карлсруэ ,0,1
28,Нюрнберг , Вольфсбург ,1,0
30,Айнтрахт , Боруссия Д ,1,1
30,Гамбург , Шальке-04 ,0,1
30,Карлсруэ , Вердер ,3,3
30,Ганновер-96 , Герта ,2,2
30,Нюрнберг , Арминия ,2,2
30,Энерги , Ганза ,2,1
30,Бохум , Дуйсбург ,1,1
30,Бавария , Штутгарт ,4,1
30,Байер , Вольфсбург ,2,2
31,Боруссия Д , Нюрнберг ,0,0
31,Ганза , Гамбург ,1,3
31,Арминия , Бохум ,2,0
31,Шальке-04 , Ганновер-96 ,1,1
31,Вердер , Энерги ,2,0
31,Штутгарт , Айнтрахт ,4,1
31,Герта , Карлсруэ ,3,1
31,Вольфсбург , Бавария ,0,0
31,Дуйсбург , Байер ,3,2
32,Боруссия Д , Штутгарт ,3,2
32,Бохум , Шальке-04 ,0,3
32,Карлсруэ , Энерги ,1,1
32,Ганновер-96 , Ганза ,3,0
32,Гамбург , Вердер ,0,1
32,Байер , Герта ,1,2
32,Бавария , Арминия ,2,0
32,Айнтрахт , Вольфсбург ,2,3
32,Нюрнберг , Дуйсбург ,2,0
33,Вольфсбург , Штутгарт ,4,0
33,Дуйсбург , Бавария ,2,3
33,Ганза , Байер ,1,2
33,Герта , Нюрнберг ,1,0
33,Энерги , Гамбург ,2,0
33,Карлсруэ , Бохум ,1,3
33,Арминия , Боруссия Д ,2,2
33,Вердер , Ганновер-96 ,6,1
33,Шальке-04 , Айнтрахт ,1,0
34,Нюрнберг , Шальке-04 ,0,2
34,Байер , Вердер ,0,1
34,Бавария , Герта ,4,1
34,Бохум , Ганза ,1,2
34,Штутгарт , Арминия ,2,2
34,Ганновер-96 , Энерги ,4,0
34,Боруссия Д , Вольфсбург ,2,4
34,Гамбург , Карлсруэ ,7,0
34,Айнтрахт , Дуйсбург ,4,2
