32,Ганновер-96 , Боруссия М ,0,1
32,Бавария , Шальке-04 ,4,1
33,Шальке-04 , Майнц ,1,3
33,Вердер , Боруссия Д ,2,0
33,Байер , Гамбург ,1,1
33,Штутгарт , Ганновер-96 ,2,1
33,Вольфсбург , Кайзерслаутерн ,1,2
33,Айнтрахт , Кёльн ,0,2
33,Боруссия М , Фрайбург ,2,0
33,Нюрнберг , Хоффенхайм ,1,2
33,Санкт-Паули , Бавария ,1,8
34,Бавария , Штутгарт ,2,1
34,Хоффенхайм , Вольфсбург ,1,3
34,Ганновер-96 , Нюрнберг ,3,1
34,Боруссия Д , Айнтрахт ,3,1
34,Гамбург , Боруссия М ,1,1
34,Майнц , Санкт-Паули ,2,1
34,Кёльн , Шальке-04 ,2,1
34,Фрайбург , Байер ,0,1
34,Кайзерслаутерн , Вердер ,3,2
