13,Эвертон , Болтон Уондерерс ,1,0
13,Портсмут , Уотфорд ,2,1
13,Рединг , Чарльтон Атлетик ,2,0
13,Шеффилд Юнайтед , Манчестер Юнайтед ,1,2
13,Мидлсбро , Ливерпуль ,0,0
13,Уиган Атлетик , Астон Вилла ,0,0
13,Блэкберн Роверс , Тоттенхэм Хотспур ,1,1
14,Чарльтон Атлетик , Эвертон ,1,1
14,Астон Вилла , Мидлсбро ,1,1
14,Фулхэм , Рединг ,0,1
14,Ливерпуль , Манчестер Сити ,1,0
14,Вест Хэм Юнайтед , Шеффилд Юнайтед ,1,0
14,Болтон Уондерерс , Арсенал ,3,1
14,Ньюкасл Юнайтед , Портсмут ,1,0
14,Тоттенхэм Хотспур , Уиган Атлетик ,3,1
14,Манчестер Юнайтед , Челси ,1,1
15,Уотфорд , Шеффилд Юнайтед ,0,1
15,Астон Вилла , Манчестер Сити ,1,3
15,Фулхэм , Арсенал ,2,1
15,Ливерпуль , Портсмут ,0,0
15,Манчестер Юнайтед , Эвертон ,3,0
15,Болтон Уондерерс , Челси ,0,1
16,Арсенал , Тоттенхэм Хотспур ,3,0
16,Блэкберн Роверс , Фулхэм ,2,0
16,Портсмут , Астон Вилла ,2,2
16,Рединг , Болтон Уондерерс ,1,0
16,Шеффилд Юнайтед , Чарльтон Атлетик ,2,1
16,Уиган Атлетик , Ливерпуль ,0,4
16,Мидлсбро , Манчестер Юнайтед ,1,2
16,Эвертон , Вест Хэм Юнайтед ,2,0
16,Манчестер Сити , Уотфорд ,0,0
15,Чарльтон Атлетик , Блэкберн Роверс ,1,0
15,Тоттенхэм Хотспур , Мидлсбро ,2,1
15,Ньюкасл Юнайтед , Рединг ,3,2
15,Вест Хэм Юнайтед , Уиган Атлетик ,0,2
17,Манчестер Юнайтед , Манчестер Сити ,3,1
17,Блэкберн Роверс , Ньюкасл Юнайтед ,1,3
17,Ливерпуль , Фулхэм ,4,0
17,Мидлсбро , Уиган Атлетик ,1,1
17,Портсмут , Эвертон ,2,0
17,Тоттенхэм Хотспур , Чарльтон Атлетик ,5,1
17,Уотфорд , Рединг ,0,0
17,Болтон Уондерерс , Вест Хэм Юнайтед ,4,0
17,Челси , Арсенал ,1,1
17,Шеффилд Юнайтед , Астон Вилла ,2,2
2,Уиган Атлетик , Арсенал ,0,1
16,Челси , Ньюкасл Юнайтед ,1,0
18,Чарльтон Атлетик , Ливерпуль ,0,3
18,Арсенал , Портсмут ,2,2
18,Ньюкасл Юнайтед , Уотфорд ,2,1
18,Рединг , Блэкберн Роверс ,1,2
18,Уиган Атлетик , Шеффилд Юнайтед ,0,1
18,Астон Вилла , Болтон Уондерерс ,0,1
18,Эвертон , Челси ,2,3
18,Манчестер Сити , Тоттенхэм Хотспур ,1,2
18,Вест Хэм Юнайтед , Манчестер Юнайтед ,1,0
18,Фулхэм , Мидлсбро ,2,1
19,Фулхэм , Вест Хэм Юнайтед ,0,0
19,Арсенал , Блэкберн Роверс ,6,2
19,Астон Вилла , Манчестер Юнайтед ,0,3
19,Ливерпуль , Уотфорд ,2,0
19,Манчестер Сити , Болтон Уондерерс ,0,2
19,Мидлсбро , Чарльтон Атлетик ,2,0
19,Ньюкасл Юнайтед , Тоттенхэм Хотспур ,3,1
19,Портсмут , Шеффилд Юнайтед ,3,1
19,Рединг , Эвертон ,0,2
19,Уиган Атлетик , Челси ,2,3
20,Челси , Рединг ,2,2
20,Тоттенхэм Хотспур , Астон Вилла ,2,1
20,Вест Хэм Юнайтед , Портсмут ,1,2
20,Блэкберн Роверс , Ливерпуль ,1,0
20,Болтон Уондерерс , Ньюкасл Юнайтед ,2,1
20,Эвертон , Мидлсбро ,0,0
20,Манчестер Юнайтед , Уиган Атлетик ,3,1
20,Шеффилд Юнайтед , Манчестер Сити ,0,1
20,Уотфорд , Арсенал ,1,2
20,Чарльтон Атлетик , Фулхэм ,2,2
21,Чарльтон Атлетик , Астон Вилла ,2,1
21,Блэкберн Роверс , Мидлсбро ,2,1
21,Болтон Уондерерс , Портсмут ,3,2
21,Челси , Фулхэм ,2,2
21,Эвертон , Ньюкасл Юнайтед ,3,0
21,Манчестер Юнайтед , Рединг ,3,2
21,Тоттенхэм Хотспур , Ливерпуль ,0,1
21,Вест Хэм Юнайтед , Манчестер Сити ,0,1
21,Шеффилд Юнайтед , Арсенал ,1,0
22,Ливерпуль , Болтон Уондерерс ,3,0
22,Фулхэм , Уотфорд ,0,0
22,Манчестер Сити , Эвертон ,2,1
22,Мидлсбро , Шеффилд Юнайтед ,3,1
22,Портсмут , Тоттенхэм Хотспур ,1,1
22,Рединг , Вест Хэм Юнайтед ,6,0
22,Уиган Атлетик , Блэкберн Роверс ,0,3
22,Ньюкасл Юнайтед , Манчестер Юнайтед ,2,2
22,Арсенал , Чарльтон Атлетик ,4,0
22,Астон Вилла , Челси ,0,0
23,Уотфорд , Ливерпуль ,0,3
23,Болтон Уондерерс , Манчестер Сити ,0,0
23,Чарльтон Атлетик , Мидлсбро ,1,3
23,Челси , Уиган Атлетик ,4,0
23,Манчестер Юнайтед , Астон Вилла ,3,1
23,Шеффилд Юнайтед , Портсмут ,1,1
23,Вест Хэм Юнайтед , Фулхэм ,3,3
23,Блэкберн Роверс , Арсенал ,0,2
23,Эвертон , Рединг ,1,1
23,Тоттенхэм Хотспур , Ньюкасл Юнайтед ,2,3
24,Ливерпуль , Челси ,2,0
24,Астон Вилла , Уотфорд ,2,0
24,Фулхэм , Тоттенхэм Хотспур ,1,1
