5,Куинз Парк Рейнджерс , Сток Сити ,2,2
5,Астон Вилла , Арсенал ,0,3
5,Бёрнли , Сандерленд ,0,0
5,Ньюкасл Юнайтед , Халл Сити ,2,2
5,Суонси Сити , Саутгемптон ,0,1
5,Вест Хэм Юнайтед , Ливерпуль ,3,1
5,Лестер Сити , Манчестер Юнайтед ,5,3
5,Тоттенхэм Хотспур , Вест Бромвич Альбион ,0,1
5,Эвертон , Кристал Пэлас ,2,3
5,Манчестер Сити , Челси ,1,1
6,Ливерпуль , Эвертон ,1,1
6,Челси , Астон Вилла ,3,0
6,Кристал Пэлас , Лестер Сити ,2,0
6,Халл Сити , Манчестер Сити ,2,4
6,Манчестер Юнайтед , Вест Хэм Юнайтед ,2,1
6,Саутгемптон , Куинз Парк Рейнджерс ,2,1
6,Сандерленд , Суонси Сити ,0,0
6,Арсенал , Тоттенхэм Хотспур ,1,1
6,Вест Бромвич Альбион , Бёрнли ,4,0
6,Сток Сити , Ньюкасл Юнайтед ,1,0
7,Халл Сити , Кристал Пэлас ,2,0
7,Лестер Сити , Бёрнли ,2,2
7,Ливерпуль , Вест Бромвич Альбион ,2,1
7,Сандерленд , Сток Сити ,3,1
7,Суонси Сити , Ньюкасл Юнайтед ,2,2
7,Астон Вилла , Манчестер Сити ,0,2
7,Манчестер Юнайтед , Эвертон ,2,1
7,Тоттенхэм Хотспур , Саутгемптон ,1,0
7,Челси , Арсенал ,2,0
7,Вест Хэм Юнайтед , Куинз Парк Рейнджерс ,2,0
8,Манчестер Сити , Тоттенхэм Хотспур ,4,1
8,Арсенал , Халл Сити ,2,2
8,Бёрнли , Вест Хэм Юнайтед ,1,3
8,Кристал Пэлас , Челси ,1,2
8,Эвертон , Астон Вилла ,3,0
8,Саутгемптон , Сандерленд ,8,0
8,Ньюкасл Юнайтед , Лестер Сити ,1,0
8,Куинз Парк Рейнджерс , Ливерпуль ,2,3
8,Сток Сити , Суонси Сити ,2,1
8,Вест Бромвич Альбион , Манчестер Юнайтед ,2,2
9,Вест Хэм Юнайтед , Манчестер Сити ,2,1
9,Ливерпуль , Халл Сити ,0,0
9,Саутгемптон , Сток Сити ,1,0
9,Сандерленд , Арсенал ,0,2
9,Вест Бромвич Альбион , Кристал Пэлас ,2,2
9,Суонси Сити , Лестер Сити ,2,0
9,Бёрнли , Эвертон ,1,3
9,Тоттенхэм Хотспур , Ньюкасл Юнайтед ,1,2
9,Манчестер Юнайтед , Челси ,1,1
9,Куинз Парк Рейнджерс , Астон Вилла ,2,0
10,Ньюкасл Юнайтед , Ливерпуль ,1,0
10,Арсенал , Бёрнли ,3,0
10,Челси , Куинз Парк Рейнджерс ,2,1
10,Эвертон , Суонси Сити ,0,0
10,Халл Сити , Саутгемптон ,0,1
10,Лестер Сити , Вест Бромвич Альбион ,0,1
10,Сток Сити , Вест Хэм Юнайтед ,2,2
10,Манчестер Сити , Манчестер Юнайтед ,1,0
10,Астон Вилла , Тоттенхэм Хотспур ,1,2
10,Кристал Пэлас , Сандерленд ,1,3
11,Ливерпуль , Челси ,1,2
11,Бёрнли , Халл Сити ,1,0
11,Манчестер Юнайтед , Кристал Пэлас ,1,0
11,Саутгемптон , Лестер Сити ,2,0
11,Вест Хэм Юнайтед , Астон Вилла ,0,0
11,Куинз Парк Рейнджерс , Манчестер Сити ,2,2
11,Сандерленд , Эвертон ,1,1
11,Тоттенхэм Хотспур , Сток Сити ,1,2
11,Вест Бромвич Альбион , Ньюкасл Юнайтед ,0,2
