9,Астон Вилла , Норвич Сити ,1,1
9,Арсенал , Куинз Парк Рейнджерс ,1,0
9,Рединг , Фулхэм ,3,3
9,Сток Сити , Сандерленд ,0,0
9,Уиган Атлетик , Вест Хэм Юнайтед ,2,1
9,Манчестер Сити , Суонси Сити ,1,0
9,Эвертон , Ливерпуль ,2,2
9,Ньюкасл Юнайтед , Вест Бромвич Альбион ,2,1
9,Саутгемптон , Тоттенхэм Хотспур ,1,2
9,Челси , Манчестер Юнайтед ,2,3
10,Манчестер Юнайтед , Арсенал ,2,1
10,Фулхэм , Эвертон ,2,2
10,Норвич Сити , Сток Сити ,1,0
10,Сандерленд , Астон Вилла ,0,1
10,Суонси Сити , Челси ,1,1
10,Тоттенхэм Хотспур , Уиган Атлетик ,0,1
10,Вест Хэм Юнайтед , Манчестер Сити ,0,0
10,Куинз Парк Рейнджерс , Рединг ,1,1
10,Ливерпуль , Ньюкасл Юнайтед ,1,1
10,Вест Бромвич Альбион , Саутгемптон ,2,0
11,Арсенал , Фулхэм ,3,3
11,Эвертон , Сандерленд ,2,1
11,Рединг , Норвич Сити ,0,0
11,Саутгемптон , Суонси Сити ,1,1
11,Сток Сити , Куинз Парк Рейнджерс ,1,0
11,Уиган Атлетик , Вест Бромвич Альбион ,1,2
11,Астон Вилла , Манчестер Юнайтед ,2,3
11,Манчестер Сити , Тоттенхэм Хотспур ,2,1
11,Ньюкасл Юнайтед , Вест Хэм Юнайтед ,0,1
11,Челси , Ливерпуль ,1,1
12,Арсенал , Тоттенхэм Хотспур ,5,2
12,Ливерпуль , Уиган Атлетик ,3,0
12,Манчестер Сити , Астон Вилла ,5,0
12,Ньюкасл Юнайтед , Суонси Сити ,1,2
12,Куинз Парк Рейнджерс , Саутгемптон ,1,3
12,Рединг , Эвертон ,2,1
12,Вест Бромвич Альбион , Челси ,2,1
12,Норвич Сити , Манчестер Юнайтед ,1,0
12,Фулхэм , Сандерленд ,1,3
12,Вест Хэм Юнайтед , Сток Сити ,1,1
13,Сандерленд , Вест Бромвич Альбион ,2,4
13,Эвертон , Норвич Сити ,1,1
13,Манчестер Юнайтед , Куинз Парк Рейнджерс ,3,1
13,Сток Сити , Фулхэм ,1,0
13,Уиган Атлетик , Рединг ,3,2
13,Астон Вилла , Арсенал ,0,0
13,Суонси Сити , Ливерпуль ,0,0
13,Саутгемптон , Ньюкасл Юнайтед ,2,0
13,Челси , Манчестер Сити ,0,0
13,Тоттенхэм Хотспур , Вест Хэм Юнайтед ,3,1
14,Сандерленд , Куинз Парк Рейнджерс ,0,0
14,Астон Вилла , Рединг ,1,0
14,Саутгемптон , Норвич Сити ,1,1
14,Сток Сити , Ньюкасл Юнайтед ,2,1
14,Суонси Сити , Вест Бромвич Альбион ,3,1
14,Тоттенхэм Хотспур , Ливерпуль ,2,1
14,Челси , Фулхэм ,0,0
14,Эвертон , Арсенал ,1,1
14,Манчестер Юнайтед , Вест Хэм Юнайтед ,1,0
14,Уиган Атлетик , Манчестер Сити ,0,2
15,Вест Хэм Юнайтед , Челси ,3,1
15,Арсенал , Суонси Сити ,0,2
15,Фулхэм , Тоттенхэм Хотспур ,0,3
15,Ливерпуль , Саутгемптон ,1,0
15,Манчестер Сити , Эвертон ,1,1
15,Куинз Парк Рейнджерс , Астон Вилла ,1,1
15,Вест Бромвич Альбион , Сток Сити ,0,1
15,Рединг , Манчестер Юнайтед ,3,4
15,Норвич Сити , Сандерленд ,2,1
15,Ньюкасл Юнайтед , Уиган Атлетик ,3,0
16,Арсенал , Вест Бромвич Альбион ,2,0
16,Астон Вилла , Сток Сити ,0,0
16,Саутгемптон , Рединг ,1,0
16,Сандерленд , Челси ,1,3
16,Суонси Сити , Норвич Сити ,3,4
16,Уиган Атлетик , Куинз Парк Рейнджерс ,2,2
16,Манчестер Сити , Манчестер Юнайтед ,2,3
16,Эвертон , Тоттенхэм Хотспур ,2,1
16,Вест Хэм Юнайтед , Ливерпуль ,2,3
16,Фулхэм , Ньюкасл Юнайтед ,2,1
17,Ньюкасл Юнайтед , Манчестер Сити ,1,3
17,Ливерпуль , Астон Вилла ,1,3
17,Манчестер Юнайтед , Сандерленд ,3,1
17,Норвич Сити , Уиган Атлетик ,2,1
17,Куинз Парк Рейнджерс , Фулхэм ,2,1
17,Сток Сити , Эвертон ,1,1
17,Тоттенхэм Хотспур , Суонси Сити ,1,0
17,Вест Бромвич Альбион , Вест Хэм Юнайтед ,0,0
17,Рединг , Арсенал ,2,5
17,Челси , Саутгемптон ,2,2
18,Уиган Атлетик , Арсенал ,0,1
18,Манчестер Сити , Рединг ,1,0
18,Ньюкасл Юнайтед , Куинз Парк Рейнджерс ,1,0
18,Саутгемптон , Сандерленд ,0,1
18,Тоттенхэм Хотспур , Сток Сити ,0,0
18,Вест Бромвич Альбион , Норвич Сити ,2,1
18,Вест Хэм Юнайтед , Эвертон ,1,2
18,Ливерпуль , Фулхэм ,4,0
18,Суонси Сити , Манчестер Юнайтед ,1,1
18,Челси , Астон Вилла ,8,0
19,Эвертон , Уиган Атлетик ,2,1
19,Фулхэм , Саутгемптон ,1,1
19,Манчестер Юнайтед , Ньюкасл Юнайтед ,4,3
19,Норвич Сити , Челси ,0,1
19,Рединг , Суонси Сити ,0,0
19,Сандерленд , Манчестер Сити ,1,0
19,Куинз Парк Рейнджерс , Вест Бромвич Альбион ,1,2
19,Астон Вилла , Тоттенхэм Хотспур ,0,4
19,Сток Сити , Ливерпуль ,3,1
19,Арсенал , Вест Хэм Юнайтед ,5,1
20,Сандерленд , Тоттенхэм Хотспур ,1,2
20,Астон Вилла , Уиган Атлетик ,0,3
20,Фулхэм , Суонси Сити ,1,2
20,Манчестер Юнайтед , Вест Бромвич Альбион ,2,0
20,Норвич Сити , Манчестер Сити ,3,4
20,Рединг , Вест Хэм Юнайтед ,1,0
20,Сток Сити , Саутгемптон ,3,3
20,Арсенал , Ньюкасл Юнайтед ,7,3
20,Эвертон , Челси ,1,2
20,Куинз Парк Рейнджерс , Ливерпуль ,0,3
21,Вест Бромвич Альбион , Фулхэм ,1,2
21,Манчестер Сити , Сток Сити ,3,0
21,Суонси Сити , Астон Вилла ,2,2
21,Тоттенхэм Хотспур , Рединг ,3,1
21,Вест Хэм Юнайтед , Норвич Сити ,2,1
21,Уиган Атлетик , Манчестер Юнайтед ,0,4
21,Саутгемптон , Арсенал ,1,1
21,Челси , Куинз Парк Рейнджерс ,0,1
21,Ливерпуль , Сандерленд ,3,0
21,Ньюкасл Юнайтед , Эвертон ,1,2
22,Куинз Парк Рейнджерс , Тоттенхэм Хотспур ,0,0
22,Астон Вилла , Саутгемптон ,0,1
22,Эвертон , Суонси Сити ,0,0
22,Фулхэм , Уиган Атлетик ,1,1
22,Норвич Сити , Ньюкасл Юнайтед ,0,0
22,Рединг , Вест Бромвич Альбион ,3,2
22,Сток Сити , Челси ,0,4
22,Сандерленд , Вест Хэм Юнайтед ,3,0
22,Манчестер Юнайтед , Ливерпуль ,2,1
22,Арсенал , Манчестер Сити ,0,2
23,Ливерпуль , Норвич Сити ,5,0
23,Манчестер Сити , Фулхэм ,2,0
23,Ньюкасл Юнайтед , Рединг ,1,2
23,Суонси Сити , Сток Сити ,3,1
23,Вест Хэм Юнайтед , Куинз Парк Рейнджерс ,1,1
23,Уиган Атлетик , Сандерленд ,2,3
23,Вест Бромвич Альбион , Астон Вилла ,2,2
23,Челси , Арсенал ,2,1
23,Тоттенхэм Хотспур , Манчестер Юнайтед ,1,1
23,Саутгемптон , Эвертон ,0,0
24,Астон Вилла , Ньюкасл Юнайтед ,1,2
24,Куинз Парк Рейнджерс , Манчестер Сити ,0,0
24,Сток Сити , Уиган Атлетик ,2,2
24,Сандерленд , Суонси Сити ,0,0
24,Арсенал , Ливерпуль ,2,2
24,Норвич Сити , Тоттенхэм Хотспур ,1,1
24,Эвертон , Вест Бромвич Альбион ,2,1
24,Манчестер Юнайтед , Саутгемптон ,2,1
24,Рединг , Челси ,2,2
24,Фулхэм , Вест Хэм Юнайтед ,3,1
25,Куинз Парк Рейнджерс , Норвич Сити ,0,0
25,Арсенал , Сток Сити ,1,0
25,Эвертон , Астон Вилла ,3,3
25,Ньюкасл Юнайтед , Челси ,3,2
25,Рединг , Сандерленд ,2,1
25,Вест Хэм Юнайтед , Суонси Сити ,1,0
25,Уиган Атлетик , Саутгемптон ,2,2
25,Фулхэм , Манчестер Юнайтед ,0,1
25,Вест Бромвич Альбион , Тоттенхэм Хотспур ,0,1
25,Манчестер Сити , Ливерпуль ,2,2
26,Тоттенхэм Хотспур , Ньюкасл Юнайтед ,2,1
26,Челси , Уиган Атлетик ,4,1
26,Норвич Сити , Фулхэм ,0,0
26,Сток Сити , Рединг ,2,1
26,Сандерленд , Арсенал ,0,1
