27,Манчестер Сити , Ливерпуль ,0,0
27,Уиган Атлетик , Тоттенхэм Хотспур ,0,3
28,Манчестер Юнайтед , Вест Хэм Юнайтед ,3,0
28,Челси , Манчестер Сити ,2,4
28,Бирмингем Сити , Уиган Атлетик ,1,0
28,Болтон Уондерерс , Вулверхэмптон ,1,0
28,Бёрнли , Портсмут ,1,2
28,Сток Сити , Арсенал ,1,3
28,Тоттенхэм Хотспур , Эвертон ,2,1
28,Ливерпуль , Блэкберн Роверс ,2,1
28,Сандерленд , Фулхэм ,0,0
29,Арсенал , Бёрнли ,3,1
29,Вест Хэм Юнайтед , Болтон Уондерерс ,1,2
29,Вулверхэмптон , Манчестер Юнайтед ,0,1
29,Эвертон , Халл Сити ,5,1
29,Уиган Атлетик , Ливерпуль ,1,0
21,Сандерленд , Болтон Уондерерс ,4,0
22,Портсмут , Бирмингем Сити ,1,2
21,Бёрнли , Сток Сити ,1,1
30,Тоттенхэм Хотспур , Блэкберн Роверс ,3,1
30,Бирмингем Сити , Эвертон ,2,2
30,Болтон Уондерерс , Уиган Атлетик ,4,0
30,Бёрнли , Вулверхэмптон ,1,2
30,Челси , Вест Хэм Юнайтед ,4,1
30,Сток Сити , Астон Вилла ,0,0
30,Халл Сити , Арсенал ,1,2
30,Манчестер Юнайтед , Фулхэм ,3,0
30,Сандерленд , Манчестер Сити ,1,1
30,Ливерпуль , Портсмут ,4,1
21,Уиган Атлетик , Астон Вилла ,1,2
31,Астон Вилла , Вулверхэмптон ,2,2
31,Эвертон , Болтон Уондерерс ,2,0
31,Портсмут , Халл Сити ,3,2
31,Сток Сити , Тоттенхэм Хотспур ,1,2
31,Сандерленд , Бирмингем Сити ,3,1
31,Уиган Атлетик , Бёрнли ,1,0
31,Арсенал , Вест Хэм Юнайтед ,2,0
31,Манчестер Юнайтед , Ливерпуль ,2,1
31,Фулхэм , Манчестер Сити ,1,2
31,Блэкберн Роверс , Челси ,1,1
21,Вест Хэм Юнайтед , Вулверхэмптон ,1,3
2,Манчестер Сити , Эвертон ,0,2
29,Астон Вилла , Сандерленд ,1,1
29,Портсмут , Челси ,0,5
29,Блэкберн Роверс , Бирмингем Сити ,2,1
32,Бирмингем Сити , Арсенал ,1,1
32,Челси , Астон Вилла ,7,1
32,Халл Сити , Фулхэм ,2,0
32,Тоттенхэм Хотспур , Портсмут ,2,0
32,Вест Хэм Юнайтед , Сток Сити ,0,1
32,Вулверхэмптон , Эвертон ,0,0
32,Болтон Уондерерс , Манчестер Юнайтед ,0,4
32,Бёрнли , Блэкберн Роверс ,0,1
32,Ливерпуль , Сандерленд ,3,0
32,Манчестер Сити , Уиган Атлетик ,3,0
33,Манчестер Юнайтед , Челси ,1,2
33,Арсенал , Вулверхэмптон ,1,0
33,Болтон Уондерерс , Астон Вилла ,0,1
33,Портсмут , Блэкберн Роверс ,0,0
33,Сток Сити , Халл Сити ,2,0
33,Сандерленд , Тоттенхэм Хотспур ,3,1
33,Бёрнли , Манчестер Сити ,1,6
33,Бирмингем Сити , Ливерпуль ,1,1
33,Фулхэм , Уиган Атлетик ,2,1
33,Эвертон , Вест Хэм Юнайтед ,2,2
34,Халл Сити , Бёрнли ,1,4
34,Вест Хэм Юнайтед , Сандерленд ,1,0
34,Вулверхэмптон , Сток Сити ,0,0
34,Блэкберн Роверс , Манчестер Юнайтед ,0,0
34,Ливерпуль , Фулхэм ,0,0
34,Манчестер Сити , Бирмингем Сити ,5,1
34,Челси , Болтон Уондерерс ,1,0
34,Астон Вилла , Эвертон ,2,2
34,Уиган Атлетик , Портсмут ,0,0
34,Тоттенхэм Хотспур , Арсенал ,2,1
35,Манчестер Сити , Манчестер Юнайтед ,0,1
35,Бирмингем Сити , Халл Сити ,0,0
35,Блэкберн Роверс , Эвертон ,2,3
35,Фулхэм , Вулверхэмптон ,0,0
35,Сток Сити , Болтон Уондерерс ,1,2
35,Сандерленд , Бёрнли ,2,1
35,Тоттенхэм Хотспур , Челси ,2,1
35,Уиган Атлетик , Арсенал ,3,2
35,Портсмут , Астон Вилла ,1,2
35,Ливерпуль , Вест Хэм Юнайтед ,3,0
28,Халл Сити , Астон Вилла ,0,2
36,Манчестер Юнайтед , Тоттенхэм Хотспур ,3,1
36,Болтон Уондерерс , Портсмут ,2,2
36,Халл Сити , Сандерленд ,0,1
36,Вест Хэм Юнайтед , Уиган Атлетик ,3,2
36,Вулверхэмптон , Блэкберн Роверс ,1,1
36,Арсенал , Манчестер Сити ,0,0
36,Астон Вилла , Бирмингем Сити ,1,0
36,Бёрнли , Ливерпуль ,0,4
36,Эвертон , Фулхэм ,2,1
36,Челси , Сток Сити ,7,0
37,Бирмингем Сити , Бёрнли ,2,1
37,Манчестер Сити , Астон Вилла ,3,1
37,Портсмут , Вулверхэмптон ,3,1
37,Сток Сити , Эвертон ,0,0
37,Тоттенхэм Хотспур , Болтон Уондерерс ,1,0
37,Ливерпуль , Челси ,0,2
37,Фулхэм , Вест Хэм Юнайтед ,3,2
37,Сандерленд , Манчестер Юнайтед ,0,1
37,Уиган Атлетик , Халл Сити ,2,2
37,Блэкберн Роверс , Арсенал ,2,1
29,Фулхэм , Сток Сити ,0,1
29,Манчестер Сити , Тоттенхэм Хотспур ,0,1
38,Арсенал , Фулхэм ,4,0
38,Астон Вилла , Блэкберн Роверс ,0,1
38,Болтон Уондерерс , Бирмингем Сити ,2,1
38,Бёрнли , Тоттенхэм Хотспур ,4,2
38,Челси , Уиган Атлетик ,8,0
38,Эвертон , Портсмут ,1,0
38,Халл Сити , Ливерпуль ,0,0
38,Манчестер Юнайтед , Сток Сити ,4,0
38,Вест Хэм Юнайтед , Манчестер Сити ,1,1
38,Вулверхэмптон , Сандерленд ,2,1
