18,Болтон Уондерерс , Портсмут ,2,1
18,Блэкберн Роверс , Сток Сити ,3,0
18,Фулхэм , Мидлсбро ,3,0
18,Халл Сити , Сандерленд ,1,4
18,Вест Хэм Юнайтед , Астон Вилла ,0,1
18,Вест Бромвич Альбион , Манчестер Сити ,2,1
18,Ньюкасл Юнайтед , Тоттенхэм Хотспур ,2,1
18,Арсенал , Ливерпуль ,1,1
18,Эвертон , Челси ,0,0
19,Сток Сити , Манчестер Юнайтед ,0,1
19,Тоттенхэм Хотспур , Фулхэм ,0,0
19,Портсмут , Вест Хэм Юнайтед ,1,4
19,Челси , Вест Бромвич Альбион ,2,0
19,Мидлсбро , Эвертон ,0,1
19,Сандерленд , Блэкберн Роверс ,0,0
19,Манчестер Сити , Халл Сити ,5,1
19,Ливерпуль , Болтон Уондерерс ,3,0
19,Уиган Атлетик , Ньюкасл Юнайтед ,2,1
19,Астон Вилла , Арсенал ,2,2
20,Ньюкасл Юнайтед , Ливерпуль ,1,5
20,Арсенал , Портсмут ,1,0
20,Болтон Уондерерс , Уиган Атлетик ,0,1
20,Эвертон , Сандерленд ,3,0
20,Вест Хэм Юнайтед , Сток Сити ,2,1
20,Фулхэм , Челси ,2,2
20,Вест Бромвич Альбион , Тоттенхэм Хотспур ,2,0
20,Блэкберн Роверс , Манчестер Сити ,2,2
20,Манчестер Юнайтед , Мидлсбро ,1,0
20,Халл Сити , Астон Вилла ,0,1
21,Астон Вилла , Вест Бромвич Альбион ,2,1
21,Ньюкасл Юнайтед , Вест Хэм Юнайтед ,2,2
21,Мидлсбро , Сандерленд ,1,1
21,Эвертон , Халл Сити ,2,0
21,Арсенал , Болтон Уондерерс ,1,0
21,Сток Сити , Ливерпуль ,0,0
21,Уиган Атлетик , Тоттенхэм Хотспур ,1,0
21,Манчестер Юнайтед , Челси ,3,0
18,Манчестер Юнайтед , Уиган Атлетик ,1,0
22,Вест Бромвич Альбион , Мидлсбро ,3,0
22,Сандерленд , Астон Вилла ,1,2
22,Манчестер Сити , Уиган Атлетик ,1,0
22,Челси , Сток Сити ,2,1
22,Болтон Уондерерс , Манчестер Юнайтед ,0,1
22,Блэкберн Роверс , Ньюкасл Юнайтед ,3,0
22,Халл Сити , Арсенал ,1,3
22,Вест Хэм Юнайтед , Фулхэм ,3,1
22,Тоттенхэм Хотспур , Портсмут ,1,1
22,Ливерпуль , Эвертон ,1,1
23,Сандерленд , Фулхэм ,1,0
23,Портсмут , Астон Вилла ,0,1
23,Тоттенхэм Хотспур , Сток Сити ,3,1
23,Вест Бромвич Альбион , Манчестер Юнайтед ,0,5
23,Уиган Атлетик , Ливерпуль ,1,1
23,Манчестер Сити , Ньюкасл Юнайтед ,2,1
23,Челси , Мидлсбро ,2,0
