31,Боруссия М , Хоффенхайм ,-,- 
31,Вольфсбург , Аугсбург ,-,- 
31,Гамбург , Вердер ,-,- 
31,Штутгарт , Боруссия Д ,-,- 
31,Айнтрахт Ф , Майнц ,-,- 
31,Кёльн , Дармштадт 98 ,-,- 
31,Герта , Бавария ,-,- 
31,Ингольштадт 04 , Ганновер-96 ,-,- 
32,Бавария , Боруссия М ,-,- 
32,Боруссия Д , Вольфсбург ,-,- 
32,Байер , Герта ,-,- 
32,Аугсбург , Кёльн ,-,- 
32,Вердер , Штутгарт ,-,- 
32,Ганновер-96 , Шальке-04 ,-,- 
32,Хоффенхайм , Ингольштадт 04 ,-,- 
32,Майнц , Гамбург ,-,- 
32,Дармштадт 98 , Айнтрахт Ф ,-,- 
33,Шальке-04 , Аугсбург ,-,- 
33,Боруссия М , Байер ,-,- 
33,Гамбург , Вольфсбург ,-,- 
33,Штутгарт , Майнц ,-,- 
33,Айнтрахт Ф , Боруссия Д ,-,- 
33,Кёльн , Вердер ,-,- 
33,Ганновер-96 , Хоффенхайм ,-,- 
33,Герта , Дармштадт 98 ,-,- 
33,Ингольштадт 04 , Бавария ,-,- 
34,Бавария , Ганновер-96 ,-,- 
34,Боруссия Д , Кёльн ,-,- 
34,Байер , Ингольштадт 04 ,-,- 
34,Вольфсбург , Штутгарт ,-,- 
34,Аугсбург , Гамбург ,-,- 
34,Вердер , Айнтрахт Ф ,-,- 
34,Хоффенхайм , Шальке-04 ,-,- 
34,Майнц , Герта ,-,- 
34,Дармштадт 98 , Боруссия М ,-,- 
