33,Марсель , Труа ,2,1
33,Монако , Лилль ,3,1
33,Нанси , Валансьен ,1,0
33,Ренн , Тулуза ,3,2
33,Седан , Ницца ,1,1
33,Осер , Лион ,0,0
33,Сент-Этьен , Бордо ,0,2
34,Тулуза , ПСЖ ,1,3
34,Труа , Седан ,3,2
34,Валансьен , Монако ,2,2
34,Лилль , Нанси ,0,1
34,Лорьян , Сент-Этьен ,0,0
34,Лион , Ле-Ман ,2,1
34,Нант , Ренн ,0,2
34,Ницца , Осер ,0,0
34,Бордо , Ланс ,1,0
34,Марсель , Сошо ,4,2
35,ПСЖ , Лион ,1,1
35,Седан , Лорьян ,3,1
35,Сошо , Валансьен ,1,0
35,Осер , Труа ,1,0
35,Ле-Ман , Нант ,1,1
35,Ланс , Тулуза ,2,0
35,Нанси , Ницца ,3,0
35,Ренн , Бордо ,0,0
35,Сент-Этьен , Лилль ,2,1
35,Монако , Марсель ,1,2
36,Сошо , Монако ,2,1
36,Труа , Ренн ,2,2
36,Валансьен , Сент-Этьен ,1,0
36,Бордо , Нант ,0,1
36,Лилль , Седан ,2,1
36,Лорьян , Осер ,2,1
36,Марсель , Нанси ,2,1
36,Ницца , ПСЖ ,1,0
36,Лион , Ланс ,3,0
36,Тулуза , Ле-Ман ,0,1
37,ПСЖ , Труа ,2,1
37,Ренн , Лорьян ,4,1
37,Сент-Этьен , Марсель ,1,2
37,Седан , Валансьен ,1,1
37,Осер , Лилль ,2,1
37,Ле-Ман , Бордо ,1,1
37,Ланс , Ницца ,0,0
37,Монако , Лион ,1,0
37,Нанси , Сошо ,5,2
37,Нант , Тулуза ,-,+ 
38,Ницца , Ле-Ман ,3,3
38,Сошо , Сент-Этьен ,1,0
38,Тулуза , Бордо ,3,1
38,Труа , Ланс ,3,0
38,Валансьен , Осер ,1,3
38,Лилль , Ренн ,1,1
38,Лорьян , ПСЖ ,0,1
38,Лион , Нант ,3,1
38,Марсель , Седан ,1,0
38,Монако , Нанси ,2,0
