26,ПСЖ , Аяччо ,4,1
26,Лорьян , Ренн ,0,2
27,Аяччо , Марсель ,1,0
27,Брест , Бордо ,0,2
27,Эвиан , Сошо ,2,3
27,Ницца , Нанси ,1,1
27,Тулуза , Лорьян ,1,1
27,Валансьен , Сент-Этьен ,1,2
27,Лион , Лилль ,2,1
27,Дижон , ПСЖ ,1,2
27,Ренн , Осер ,1,1
27,Монпелье , Кан ,3,0
28,Осер , Эвиан ,0,2
28,Бордо , Аяччо ,1,1
28,Кан , ПСЖ ,2,2
28,Лорьян , Брест ,2,1
28,Марсель , Дижон ,1,2
28,Нанси , Монпелье ,1,0
28,Сент-Этьен , Лион ,0,1
28,Ренн , Тулуза ,0,1
28,Сошо , Ницца ,2,0
28,Лилль , Валансьен ,4,0
29,Аяччо , Лорьян ,1,1
29,Брест , Нанси ,0,1
29,Эвиан , Лилль ,0,3
29,Лион , Сошо ,2,1
29,Монпелье , Сент-Этьен ,1,0
29,Ницца , Марсель ,1,1
29,Валансьен , Ренн ,1,0
29,Дижон , Кан ,2,0
29,Тулуза , Осер ,1,0
29,ПСЖ , Бордо ,1,1
30,Осер , Валансьен ,2,0
30,Бордо , Дижон ,1,1
30,Лорьян , Эвиан ,0,1
30,Сент-Этьен , Ницца ,2,3
30,Сошо , Брест ,2,1
30,Нанси , ПСЖ ,2,1
30,Кан , Аяччо ,0,0
30,Лилль , Тулуза ,2,1
30,Ренн , Лион ,1,1
30,Марсель , Монпелье ,1,3
31,Аяччо , Сент-Этьен ,1,1
31,Брест , Лилль ,3,1
31,Дижон , Нанси ,0,2
31,Эвиан , Ренн ,1,3
31,Монпелье , Сошо ,2,1
31,Валансьен , Тулуза ,2,0
31,Лион , Осер ,2,1
31,Кан , Бордо ,1,0
31,Ницца , Лорьян ,2,0
31,ПСЖ , Марсель ,2,1
32,Лилль , Аяччо ,4,1
32,Лорьян , Монпелье ,2,1
32,Нанси , Бордо ,2,2
32,Сент-Этьен , Брест ,2,1
32,Сошо , Дижон ,1,0
32,Валансьен , Эвиан ,0,3
32,Осер , ПСЖ ,1,1
32,Ренн , Ницца ,3,1
32,Марсель , Кан ,1,1
32,Тулуза , Лион ,3,0
33,Брест , Ренн ,0,1
33,Кан , Сент-Этьен ,1,4
33,Дижон , Лилль ,0,2
33,Эвиан , Тулуза ,2,1
33,Монпелье , Валансьен ,1,0
33,Ницца , Осер ,1,0
33,Бордо , Марсель ,2,1
33,Аяччо , Нанси ,0,0
33,ПСЖ , Сошо ,6,1
33,Лион , Лорьян ,3,2
34,Тулуза , Монпелье ,0,1
34,Лорьян , Марсель ,2,1
34,Осер , Брест ,4,0
34,Нанси , Кан ,1,1
34,Ренн , Аяччо ,3,1
34,Сент-Этьен , Дижон ,1,0
34,Сошо , Бордо ,0,3
34,Валансьен , Ницца ,2,0
34,Лилль , ПСЖ ,2,1
34,Эвиан , Лион ,1,3
35,Монпелье , Эвиан ,2,2
35,Аяччо , Сошо ,2,1
35,Бордо , Ренн ,2,0
35,Брест , Тулуза ,0,0
35,Кан , Лорьян ,1,0
35,Лион , Валансьен ,4,1
35,Марсель , Нанси ,1,0
35,Ницца , Лилль ,0,1
35,ПСЖ , Сент-Этьен ,2,0
35,Дижон , Осер ,0,2
36,Эвиан , Аяччо ,2,1
36,Лион , Брест ,1,1
36,Валансьен , ПСЖ ,3,4
36,Осер , Бордо ,2,4
36,Лилль , Кан ,3,0
36,Лорьян , Дижон ,0,0
36,Сент-Этьен , Марсель ,0,0
36,Сошо , Нанси ,1,0
36,Тулуза , Ницца ,0,0
36,Ренн , Монпелье ,0,2
37,Аяччо , Лион ,1,1
37,Бордо , Лорьян ,1,0
37,Брест , Валансьен ,1,0
37,Кан , Сошо ,1,3
37,Дижон , Тулуза ,1,1
37,Марсель , Осер ,3,0
37,Монпелье , Лилль ,1,0
37,Нанси , Сент-Этьен ,3,2
37,Ницца , Эвиан ,1,1
37,ПСЖ , Ренн ,3,0
38,Осер , Монпелье ,1,2
38,Эвиан , Брест ,0,1
38,Лилль , Нанси ,4,1
38,Лорьян , ПСЖ ,1,2
38,Лион , Ницца ,3,4
38,Ренн , Дижон ,5,0
38,Сент-Этьен , Бордо ,2,3
38,Сошо , Марсель ,1,0
38,Тулуза , Аяччо ,0,2
38,Валансьен , Кан ,3,1
