33,ПСЖ , Валансьен ,3,1
33,Марсель , Осер ,1,1
33,Монпелье , Брест ,0,0
33,Ницца , Кан ,0,4
33,Тулуза , Лион ,2,0
33,Сент-Этьен , Монако ,1,1
34,Арль-Авиньон , Сент-Этьен ,0,1
34,Осер , Монпелье ,1,0
34,Бордо , Сошо ,0,4
34,Брест , Ницца ,0,0
34,Кан , Ланс ,1,1
34,Лорьян , Тулуза ,0,0
34,Монако , ПСЖ ,1,1
34,Нанси , Лилль ,0,1
34,Валансьен , Ренн ,2,0
34,Лион , Марсель ,3,2
35,ПСЖ , Нанси ,2,2
35,Сент-Этьен , Лилль ,1,2
35,Осер , Лион ,4,0
35,Ланс , Бордо ,1,0
35,Монпелье , Лорьян ,3,1
35,Ницца , Арль-Авиньон ,3,2
35,Ренн , Кан ,1,1
35,Сошо , Монако ,3,0
35,Тулуза , Валансьен ,0,0
35,Марсель , Брест ,3,0
36,Арль-Авиньон , Тулуза ,1,0
36,Кан , Монпелье ,2,0
36,Монако , Ланс ,1,1
36,Нанси , Ницца ,3,0
36,Сент-Этьен , Ренн ,1,2
36,Валансьен , Осер ,1,1
36,Лорьян , Марсель ,2,2
36,Брест , Лион ,1,1
36,Бордо , ПСЖ ,1,0
36,Лилль , Сошо ,1,0
37,Осер , Брест ,0,1
37,Ланс , Арль-Авиньон ,0,1
37,Лион , Кан ,0,0
37,Марсель , Валансьен ,2,2
37,Монпелье , Монако ,0,1
37,Ницца , Лорьян ,2,0
37,ПСЖ , Лилль ,2,2
37,Ренн , Нанси ,0,2
37,Сошо , Сент-Этьен ,2,1
37,Тулуза , Бордо ,2,0
38,Арль-Авиньон , Сошо ,1,3
38,Бордо , Монпелье ,2,0
38,Брест , Тулуза ,0,2
38,Кан , Марсель ,2,2
38,Лилль , Ренн ,3,2
38,Лорьян , Осер ,1,2
38,Монако , Лион ,0,2
38,Нанси , Ланс ,4,0
38,Сент-Этьен , ПСЖ ,1,1
38,Валансьен , Ницца ,2,1
