27,Сент-Этьен , Ницца ,0,0
27,Бордо , ПСЖ ,3,0
28,Ренн , ПСЖ ,2,0
28,Осер , Ланс ,0,0
28,Кан , Лорьян ,0,0
28,Нанси , Монако ,2,0
28,Ницца , Ле-Ман ,0,0
28,Страсбург , Метц ,2,3
28,Тулуза , Сошо ,1,2
28,Валансьен , Лилль ,0,0
28,Марсель , Сент-Этьен ,2,0
28,Лион , Бордо ,4,2
29,Монако , Лион ,0,3
29,Ле-Ман , Ренн ,1,1
29,Лилль , Кан ,5,0
29,Лорьян , Осер ,1,1
29,Метц , Ницца ,1,2
29,ПСЖ , Валансьен ,1,1
29,Сент-Этьен , Тулуза ,0,0
29,Сошо , Нанси ,1,1
29,Бордо , Страсбург ,3,0
29,Ланс , Марсель ,3,3
30,Нанси , Метц ,2,1
30,Осер , Сент-Этьен ,1,3
30,Кан , Монако ,4,1
30,Марсель , Сошо ,0,1
30,Ницца , Лорьян ,1,2
30,Страсбург , Лилль ,0,1
30,Тулуза , Ле-Ман ,1,1
30,Валансьен , Бордо ,3,1
30,Ренн , Ланс ,3,1
30,Лион , ПСЖ ,4,2
31,Бордо , Нанси ,2,1
31,Ле-Ман , Кан ,1,1
31,Лилль , Осер ,0,2
31,Метц , Тулуза ,0,2
31,Сошо , Ницца ,1,0
31,Валансьен , Лион ,1,2
31,Лорьян , Марсель ,1,2
31,Монако , Ренн ,1,2
31,ПСЖ , Страсбург ,1,0
31,Сент-Этьен , Ланс ,2,0
32,Ренн , Бордо ,0,2
32,Осер , Сошо ,0,1
32,Кан , Валансьен ,1,0
32,Ланс , Метц ,1,1
32,Ницца , Лилль ,0,0
32,Сент-Этьен , Ле-Ман ,4,1
32,Страсбург , Монако ,0,2
32,Тулуза , Лорьян ,0,0
32,Нанси , ПСЖ ,1,0
32,Марсель , Лион ,3,1
33,Лион , Ренн ,1,1
33,Ле-Ман , Осер ,3,0
33,Лилль , Нанси ,2,1
33,Лорьян , Ланс ,1,0
33,Метц , Марсель ,1,2
33,Монако , Тулуза ,0,2
33,Сошо , Сент-Этьен ,1,1
33,Валансьен , Страсбург ,2,0
33,Бордо , Кан ,2,1
33,ПСЖ , Ницца ,2,3
34,Ланс , Сошо ,3,2
34,Осер , Метц ,0,0
34,Кан , ПСЖ ,3,0
34,Нанси , Ле-Ман ,1,1
34,Ницца , Монако ,0,2
34,Ренн , Валансьен ,1,0
34,Сент-Этьен , Лорьян ,1,0
34,Страсбург , Лион ,1,2
34,Тулуза , Бордо ,0,1
34,Марсель , Лилль ,1,3
35,ПСЖ , Осер ,3,1
35,Бордо , Ницца ,0,0
35,Ле-Ман , Ланс ,3,2
35,Лилль , Тулуза ,3,2
35,Лион , Кан ,2,2
35,Метц , Сент-Этьен ,0,1
35,Ренн , Страсбург ,3,0
35,Сошо , Лорьян ,1,1
35,Валансьен , Нанси ,1,1
35,Монако , Марсель ,2,3
36,Ницца , Лион ,0,0
36,Тулуза , ПСЖ ,1,1
36,Осер , Валансьен ,2,0
36,Кан , Ренн ,2,2
36,Ланс , Монако ,0,0
36,Лорьян , Ле-Ман ,0,0
36,Нанси , Страсбург ,3,0
36,Сошо , Метц ,0,0
36,Сент-Этьен , Лилль ,0,0
36,Марсель , Бордо ,1,2
37,Бордо , Сошо ,2,0
37,Ле-Ман , Марсель ,0,0
37,Лилль , Ланс ,2,1
37,Лион , Нанси ,1,0
37,Метц , Лорьян ,1,2
37,Монако , Осер ,3,0
37,ПСЖ , Сент-Этьен ,1,1
37,Ренн , Тулуза ,2,1
37,Страсбург , Кан ,1,4
37,Валансьен , Ницца ,1,2
38,Осер , Лион ,1,3
38,Ланс , Бордо ,2,2
38,Лорьян , Лилль ,1,1
38,Марсель , Страсбург ,4,3
38,Метц , Ле-Ман ,4,3
38,Нанси , Ренн ,2,3
38,Ницца , Кан ,3,1
38,Сент-Этьен , Монако ,4,0
38,Сошо , ПСЖ ,1,2
38,Тулуза , Валансьен ,2,1
