"16.09.2015, 19:00 ",Нефтехимик , Сибирь ,1,2,  Б 
"16.09.2015, 19:30 ",Ак Барс , Динамо Мн ,4,5,
"17.09.2015, 18:30 ",Йокерит , Динамо М ,2,1,
"17.09.2015, 19:30 ",Динамо Р , Витязь ,1,4,
"17.09.2015, 20:30 ",Слован , СКА ,1,2,  ОТ 
"17.09.2015, 20:30 ",Медвешчак , Спартак ,1,7,
"18.09.2015, 17:00 ",Автомобилист , Авангард ,3,2,  ОТ 
"18.09.2015, 17:00 ",Металлург Мг , Сибирь ,3,2,  Б 
"18.09.2015, 17:00 ",Салават Юлаев , Металлург Нк ,4,1,
"18.09.2015, 17:00 ",Трактор , Адмирал ,2,1,  Б 
"18.09.2015, 17:00 ",Югра , Барыс ,1,0,
"18.09.2015, 18:00 ",Лада , Северсталь ,0,2,
"18.09.2015, 19:00 ",Нефтехимик , Амур ,3,2,
"18.09.2015, 19:00 ",Ак Барс , ЦСКА ,6,3,
"18.09.2015, 19:30 ",Локомотив , Динамо Мн ,4,0,
"18.09.2015, 19:30 ",ХК Сочи , Торпедо ,0,1,
"19.09.2015, 16:00 ",Йокерит , Витязь ,1,2,  Б 
"19.09.2015, 18:30 ",Слован , Спартак ,2,5,
"19.09.2015, 18:30 ",Медвешчак , СКА ,3,4,
"20.09.2015, 14:30 ",Автомобилист , Барыс ,2,1,  Б 
"20.09.2015, 14:30 ",Металлург Мг , Металлург Нк ,5,2,
"20.09.2015, 14:30 ",Салават Юлаев , Сибирь ,2,1,
"20.09.2015, 14:30 ",Трактор , Амур ,2,1,  Б 
"20.09.2015, 14:30 ",Югра , Авангард ,3,0,
"20.09.2015, 16:00 ",Лада , ЦСКА ,2,4,
"20.09.2015, 17:00 ",Нефтехимик , Адмирал ,2,3,
"20.09.2015, 17:00 ",Ак Барс , Северсталь ,3,1,
"20.09.2015, 17:00 ",Локомотив , Торпедо ,3,1,
"20.09.2015, 17:00 ",ХК Сочи , Динамо Мн ,4,1,
"21.09.2015, 19:30 ",Динамо М , СКА ,3,2,
"21.09.2015, 20:30 ",Слован , Динамо Р ,3,2,  ОТ 
"21.09.2015, 20:30 ",Медвешчак , Витязь ,3,1,
"22.09.2015, 16:30 ",Барыс , Авангард ,1,4,
"22.09.2015, 17:00 ",Металлург Мг , Адмирал ,0,2,
"22.09.2015, 17:00 ",Салават Юлаев , Амур ,1,4,
"22.09.2015, 19:30 ",Спартак , Северсталь ,2,1,
"23.09.2015, 15:00 ",Металлург Нк , ХК Сочи ,3,4,  Б 
"23.09.2015, 16:30 ",Сибирь , Локомотив ,1,0,
"23.09.2015, 18:30 ",Йокерит , Слован ,4,1,
"23.09.2015, 19:00 ",Торпедо , Автомобилист ,2,4,
"23.09.2015, 19:30 ",Динамо Мн , Югра ,0,3,
"23.09.2015, 19:30 ",ЦСКА , СКА ,1,2,
"23.09.2015, 19:30 ",Динамо Р , Медвешчак ,1,2,
"24.09.2015, 19:30 ",Витязь , Нефтехимик ,1,0,
"24.09.2015, 19:30 ",Динамо М , Трактор ,3,1,
"25.09.2015, 12:30 ",Амур , Локомотив ,0,1,
"25.09.2015, 12:30 ",Адмирал , ХК Сочи ,0,2,
"25.09.2015, 15:00 ",Металлург Нк , Лада ,2,0,
"25.09.2015, 16:30 ",Авангард , Барыс ,2,4,
"25.09.2015, 16:30 ",Сибирь , Ак Барс ,5,4,  ОТ 
"25.09.2015, 19:00 ",Торпедо , Югра ,6,0,
"25.09.2015, 19:30 ",Динамо Мн , Автомобилист ,5,1,
"25.09.2015, 19:30 ",СКА , Йокерит ,6,3,
"25.09.2015, 19:30 ",Спартак , Медвешчак ,1,2,
"25.09.2015, 19:30 ",Динамо Р , Слован ,1,2,  Б 
"26.09.2015, 17:00 ",Витязь , Трактор ,1,4,
"26.09.2015, 17:00 ",Динамо М , Нефтехимик ,3,0,
"27.09.2015, 10:00 ",Амур , ХК Сочи ,1,0,
"27.09.2015, 10:00 ",Адмирал , Локомотив ,0,3,
"27.09.2015, 13:00 ",Металлург Нк , Ак Барс ,3,4,  Б 
"27.09.2015, 14:30 ",Сибирь , Лада ,5,4,  Б 
"27.09.2015, 17:00 ",Северсталь , Югра ,3,0,
"27.09.2015, 17:00 ",Спартак , Динамо Р ,3,2,
"27.09.2015, 17:00 ",ЦСКА , Йокерит ,5,2,
"28.09.2015, 19:30 ",Витязь , Металлург Мг ,2,7,
"28.09.2015, 19:30 ",Динамо М , Салават Юлаев ,6,3,
"28.09.2015, 20:30 ",Слован , Нефтехимик ,0,3,
"28.09.2015, 20:30 ",Медвешчак , Трактор ,2,1,
"29.09.2015, 12:30 ",Амур , Ак Барс ,1,0,  Б 
"29.09.2015, 12:30 ",Адмирал , Лада ,1,0,
"29.09.2015, 15:00 ",Металлург Нк , Локомотив ,1,4,
"29.09.2015, 16:30 ",Сибирь , ХК Сочи ,3,2,  Б 
"29.09.2015, 17:00 ",Автомобилист , Динамо Мн ,1,4,
"29.09.2015, 17:00 ",Югра , Торпедо ,3,2,
"29.09.2015, 19:30 ",Северсталь , Барыс ,5,4,  ОТ 
"29.09.2015, 19:30 ",СКА , Динамо Р ,1,4,
"29.09.2015, 19:30 ",ЦСКА , Авангард ,2,0,
"30.09.2015, 19:30 ",Витязь , Салават Юлаев ,3,0,
"30.09.2015, 19:30 ",Динамо М , Металлург Мг ,2,1,
