16,Бирмингем Сити , Тоттенхэм Хотспур ,1,1
16,Блэкберн Роверс , Вулверхэмптон ,3,0
16,Челси , Эвертон ,1,1
16,Манчестер Сити , Болтон Уондерерс ,1,0
16,Уиган Атлетик , Сток Сити ,2,2
16,Вест Бромвич Альбион , Ньюкасл Юнайтед ,3,1
16,Сандерленд , Вест Хэм Юнайтед ,1,0
16,Ливерпуль , Астон Вилла ,3,0
16,Блэкпул , Манчестер Юнайтед ,2,3
17,Астон Вилла , Вест Бромвич Альбион ,2,1
17,Эвертон , Уиган Атлетик ,0,0
17,Фулхэм , Сандерленд ,0,0
17,Сток Сити , Блэкпул ,0,1
17,Вест Хэм Юнайтед , Манчестер Сити ,1,3
17,Ньюкасл Юнайтед , Ливерпуль ,3,1
17,Болтон Уондерерс , Блэкберн Роверс ,2,1
17,Вулверхэмптон , Бирмингем Сити ,1,0
17,Тоттенхэм Хотспур , Челси ,1,1
17,Манчестер Юнайтед , Арсенал ,1,0
18,Сандерленд , Болтон Уондерерс ,1,0
18,Блэкберн Роверс , Вест Хэм Юнайтед ,1,1
18,Манчестер Сити , Эвертон ,1,2
18,Уиган Атлетик , Астон Вилла ,1,2
18,Ливерпуль , Фулхэм ,1,0
18,Бирмингем Сити , Ньюкасл Юнайтед ,0,2
18,Вест Бромвич Альбион , Вулверхэмптон ,1,1
18,Блэкпул , Тоттенхэм Хотспур ,3,1
18,Арсенал , Сток Сити ,1,0
18,Челси , Манчестер Юнайтед ,2,1
19,Фулхэм , Вест Хэм Юнайтед ,1,3
19,Блэкберн Роверс , Сток Сити ,0,2
19,Болтон Уондерерс , Вест Бромвич Альбион ,2,0
19,Манчестер Юнайтед , Сандерленд ,2,0
19,Ньюкасл Юнайтед , Манчестер Сити ,1,3
19,Вулверхэмптон , Уиган Атлетик ,1,2
19,Астон Вилла , Тоттенхэм Хотспур ,1,2
19,Арсенал , Челси ,3,1
19,Блэкпул , Ливерпуль ,2,1
19,Эвертон , Бирмингем Сити ,1,1
20,Манчестер Сити , Астон Вилла ,4,0
20,Сток Сити , Фулхэм ,0,2
20,Сандерленд , Блэкпул ,0,2
20,Тоттенхэм Хотспур , Ньюкасл Юнайтед ,2,0
20,Вест Бромвич Альбион , Блэкберн Роверс ,1,3
20,Вест Хэм Юнайтед , Эвертон ,1,1
20,Бирмингем Сити , Манчестер Юнайтед ,1,1
20,Челси , Болтон Уондерерс ,1,0
20,Уиган Атлетик , Арсенал ,2,2
20,Ливерпуль , Вулверхэмптон ,0,1
21,Вест Бромвич Альбион , Манчестер Юнайтед ,1,2
21,Ливерпуль , Болтон Уондерерс ,2,1
21,Манчестер Сити , Блэкпул ,1,0
21,Сток Сити , Эвертон ,2,0
21,Сандерленд , Блэкберн Роверс ,3,0
21,Тоттенхэм Хотспур , Фулхэм ,1,0
21,Вест Хэм Юнайтед , Вулверхэмптон ,2,0
21,Бирмингем Сити , Арсенал ,0,3
21,Челси , Астон Вилла ,3,3
21,Уиган Атлетик , Ньюкасл Юнайтед ,0,1
22,Блэкпул , Бирмингем Сити ,1,2
22,Манчестер Юнайтед , Сток Сити ,2,1
22,Фулхэм , Вест Бромвич Альбион ,3,0
22,Арсенал , Манчестер Сити ,0,0
22,Вулверхэмптон , Челси ,1,0
22,Астон Вилла , Сандерленд ,0,1
22,Ньюкасл Юнайтед , Вест Хэм Юнайтед ,5,0
22,Болтон Уондерерс , Уиган Атлетик ,1,1
22,Эвертон , Тоттенхэм Хотспур ,2,1
22,Блэкберн Роверс , Ливерпуль ,3,1
23,Челси , Блэкберн Роверс ,2,0
23,Манчестер Сити , Вулверхэмптон ,4,3
23,Сток Сити , Болтон Уондерерс ,2,0
23,Вест Бромвич Альбион , Блэкпул ,3,2
23,Уиган Атлетик , Фулхэм ,1,1
23,Вест Хэм Юнайтед , Арсенал ,0,3
23,Бирмингем Сити , Астон Вилла ,1,1
23,Сандерленд , Ньюкасл Юнайтед ,1,1
23,Ливерпуль , Эвертон ,2,2
23,Тоттенхэм Хотспур , Манчестер Юнайтед ,0,0
24,Вулверхэмптон , Ливерпуль ,0,3
24,Арсенал , Уиган Атлетик ,3,0
24,Блэкпул , Сандерленд ,1,2
24,Эвертон , Вест Хэм Юнайтед ,2,2
24,Фулхэм , Сток Сити ,2,0
24,Манчестер Юнайтед , Бирмингем Сити ,5,0
24,Ньюкасл Юнайтед , Тоттенхэм Хотспур ,1,1
