24,Сошо , Тулуза ,1,2
24,Монако , Марсель ,0,1
25,Гренобль , ПСЖ ,0,0
25,Гавр , Осер ,1,2
25,Лорьян , Сошо ,1,2
25,Нанси , Лион ,0,2
25,Нант , Кан ,1,1
25,Тулуза , Валансьен ,0,0
25,Ницца , Ренн ,0,1
25,Марсель , Ле-Ман ,0,0
25,Сент-Этьен , Бордо ,1,1
25,Лилль , Монако ,2,1
26,Ле-Ман , Гавр ,2,0
26,Нант , Гренобль ,1,1
26,Сошо , Ницца ,1,0
26,Валансьен , Лилль ,2,0
26,Осер , Тулуза ,1,1
26,Бордо , Лорьян ,1,0
26,Кан , Марсель ,0,1
26,Монако , Сент-Этьен ,2,2
26,ПСЖ , Нанси ,4,1
26,Лион , Ренн ,1,1
27,Гренобль , Кан ,2,1
27,Лорьян , ПСЖ ,0,1
27,Марсель , Валансьен ,0,0
27,Нанси , Ле-Ман ,2,2
27,Ницца , Монако ,0,0
27,Тулуза , Бордо ,3,0
27,Лилль , Лион ,2,0
27,Гавр , Сошо ,2,1
27,Ренн , Осер ,2,0
27,Сент-Этьен , Нант ,2,1
28,Кан , Лилль ,0,1
28,Ле-Ман , Ренн ,2,2
28,Монако , Тулуза ,3,2
28,Нант , Лорьян ,1,1
28,Сошо , Нанси ,2,1
28,Валансьен , Гавр ,3,2
28,Бордо , Ницца ,2,1
28,Гренобль , Сент-Этьен ,1,0
28,Лион , Осер ,0,2
28,ПСЖ , Марсель ,1,3
29,Осер , Ле-Ман ,2,0
29,Гавр , Бордо ,0,3
29,Лилль , Гренобль ,2,1
29,Нанси , Монако ,0,1
29,Ницца , Кан ,2,2
29,Ренн , Валансьен ,0,0
29,Марсель , Нант ,2,0
29,Лорьян , Сент-Этьен ,3,1
29,Лион , Сошо ,2,0
29,Тулуза , ПСЖ ,4,1
30,Бордо , Нанси ,1,0
30,Гренобль , Лорьян ,1,3
30,Ле-Ман , Лион ,1,3
30,Монако , Гавр ,0,1
30,Нант , Лилль ,0,2
30,Валансьен , Осер ,2,0
30,Кан , Тулуза ,0,0
30,ПСЖ , Ницца ,2,1
30,Сошо , Ренн ,3,0
30,Сент-Этьен , Марсель ,0,3
31,Осер , Бордо ,0,2
31,Гавр , Кан ,1,2
31,Ле-Ман , Сошо ,2,0
31,Нанси , Валансьен ,2,0
31,Ницца , Лорьян ,2,0
31,Тулуза , Нант ,1,0
