33,Ницца , Ланс ,0,0
33,Ренн , Нанси ,0,0
33,Валансьен , Ле-Ман ,0,1
33,Бордо , Лион ,2,2
33,Лилль , Монако ,4,0
33,Монпелье , Тулуза ,1,1
33,Сент-Этьен , ПСЖ ,0,0
34,Ле-Ман , Лилль ,1,2
34,Лорьян , Бордо ,1,0
34,Нанси , Монпелье ,0,0
34,Ницца , Гренобль ,2,1
34,Сошо , Булонь ,0,3
34,ПСЖ , Ренн ,1,1
34,Ланс , Валансьен ,1,1
34,Тулуза , Осер ,0,3
34,Марсель , Сент-Этьен ,1,0
34,Лион , Монако ,3,0
35,Гренобль , ПСЖ ,4,0
35,Монако , Ле-Ман ,1,1
35,Осер , Марсель ,0,0
35,Бордо , Тулуза ,1,0
35,Булонь , Ницца ,3,3
35,Лилль , Нанси ,3,1
35,Ренн , Сошо ,1,2
35,Сент-Этьен , Ланс ,1,4
35,Валансьен , Лорьян ,0,0
35,Монпелье , Лион ,0,1
36,Булонь , Сент-Этьен ,0,1
36,Ланс , Гренобль ,1,1
36,Лорьян , Монако ,2,2
36,Лион , Осер ,2,1
36,Нанси , Ле-Ман ,3,2
36,Ницца , Бордо ,1,1
36,ПСЖ , Валансьен ,2,2
36,Сошо , Монпелье ,0,1
36,Тулуза , Лилль ,0,2
36,Марсель , Ренн ,3,1
37,Осер , Ланс ,0,0
37,Бордо , Сошо ,2,0
37,Гренобль , Булонь ,2,0
37,Ле-Ман , ПСЖ ,1,0
37,Лилль , Марсель ,3,2
37,Монако , Нанси ,2,1
37,Монпелье , Лорьян ,2,1
37,Ренн , Ницца ,2,2
37,Сент-Этьен , Тулуза ,0,1
37,Валансьен , Лион ,2,2
38,Булонь , Ренн ,1,0
38,Ланс , Бордо ,4,3
38,Лорьян , Лилль ,2,1
38,Лион , Ле-Ман ,2,0
38,Марсель , Гренобль ,2,0
38,Нанси , Валансьен ,1,1
38,Ницца , Сент-Этьен ,1,1
38,ПСЖ , Монпелье ,1,3
38,Сошо , Осер ,1,2
38,Тулуза , Монако ,0,0
