29,Бордо , Газелек Аяччо ,-,- 
29,Лилль , Реймс ,-,- 
29,Ницца , Труа ,-,- 
29,Марсель , Тулуза ,-,- 
29,Лион , Генгам ,-,- 
29,ПСЖ , Монпелье ,-,- 
29,Бастия , Лорьян ,-,- 
29,Кан , Монако ,-,- 
29,Ренн , Нант ,-,- 
30,Монако , Реймс ,-,- 
30,Генгам , Сент-Этьен ,-,- 
30,Труа , ПСЖ ,-,- 
30,Лорьян , Марсель ,-,- 
30,Нант , Анже ,-,- 
30,Газелек Аяччо , Кан ,-,- 
30,Монпелье , Ницца ,-,- 
30,Бастия , Лилль ,-,- 
30,Ренн , Лион ,-,- 
30,Тулуза , Бордо ,-,- 
31,Анже , Лорьян ,-,- 
31,Сент-Этьен , Монпелье ,-,- 
31,Бордо , Бастия ,-,- 
31,Лилль , Тулуза ,-,- 
31,Ницца , Газелек Аяччо ,-,- 
31,Марсель , Ренн ,-,- 
31,Лион , Нант ,-,- 
31,ПСЖ , Монако ,-,- 
31,Кан , Труа ,-,- 
31,Реймс , Генгам ,-,- 
32,Монако , Бордо ,-,- 
32,Генгам , Монпелье ,-,- 
32,Труа , Анже ,-,- 
32,Лорьян , Лион ,-,- 
32,Нант , Лилль ,-,- 
32,Газелек Аяччо , Сент-Этьен ,-,- 
32,ПСЖ , Ницца ,-,- 
32,Бастия , Марсель ,-,- 
32,Ренн , Реймс ,-,- 
32,Тулуза , Кан ,-,- 
33,Анже , Газелек Аяччо ,-,- 
33,Сент-Этьен , Труа ,-,- 
33,Генгам , ПСЖ ,-,- 
33,Лилль , Монако ,-,- 
33,Монпелье , Лион ,-,- 
33,Ницца , Ренн ,-,- 
33,Марсель , Бордо ,-,- 
33,Кан , Лорьян ,-,- 
33,Реймс , Нант ,-,- 
33,Тулуза , Бастия ,-,- 
34,Монако , Марсель ,-,- 
34,Труа , Реймс ,-,- 
34,Бордо , Анже ,-,- 
34,Лорьян , Тулуза ,-,- 
34,Нант , Монпелье ,-,- 
34,Газелек Аяччо , Лилль ,-,- 
34,Лион , Ницца ,-,- 
34,ПСЖ , Кан ,-,- 
34,Бастия , Сент-Этьен ,-,- 
34,Ренн , Генгам ,-,- 
35,Сент-Этьен , Лорьян ,-,- 
35,Генгам , Кан ,-,- 
35,Бордо , ПСЖ ,-,- 
35,Газелек Аяччо , Бастия ,-,- 
35,Лилль , Анже ,-,- 
35,Монпелье , Труа ,-,- 
35,Ницца , Реймс ,-,- 
35,Марсель , Нант ,-,- 
35,Ренн , Монако ,-,- 
35,Тулуза , Лион ,-,- 
36,Анже , Марсель ,-,- 
36,Монако , Генгам ,-,- 
36,Сент-Этьен , Тулуза ,-,- 
36,Труа , Бордо ,-,- 
36,Лорьян , Лилль ,-,- 
36,Нант , Ницца ,-,- 
36,Лион , Газелек Аяччо ,-,- 
36,ПСЖ , Ренн ,-,- 
36,Кан , Бастия ,-,- 
36,Реймс , Монпелье ,-,- 
37,Бордо , Лорьян ,-,- 
37,Нант , Кан ,-,- 
37,Газелек Аяччо , ПСЖ ,-,- 
37,Лилль , Генгам ,-,- 
37,Монпелье , Ренн ,-,- 
37,Ницца , Сент-Этьен ,-,- 
37,Марсель , Реймс ,-,- 
37,Лион , Монако ,-,- 
37,Бастия , Анже ,-,- 
37,Тулуза , Труа ,-,- 
38,Анже , Тулуза ,-,- 
38,Монако , Монпелье ,-,- 
38,Сент-Этьен , Лилль ,-,- 
38,Генгам , Ницца ,-,- 
38,Труа , Марсель ,-,- 
38,Лорьян , Газелек Аяччо ,-,- 
38,ПСЖ , Нант ,-,- 
38,Кан , Бордо ,-,- 
38,Реймс , Лион ,-,- 
38,Ренн , Бастия ,-,- 
